mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,Dminor_count,DMajor_count,D#_Ebminor_count,D#_EbMajor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/Gbminor_count,F#/GbMajor_count,Gminor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/BbMajor_count,Bminor_count,A#/Bbminor_count,BMajor_count
INFJ,NF,INFJ Playlist!!,2HTkX7Q03qo3jrPvfz1XCy,50,0.53026,0.141893005,0.69014,0.162906761,-6.73336,2.594439374,0.52,0.50467205,0.055892,0.056145605,0.185469508,0.214289831,0.197954,0.123234825,0.46668,0.182133663,123.22546,32.823542,0.195036841,0.309712103,6,4,2,2,1,1,1,1,4,2,2,2,1,2,1,1,1,3,5,6,2,0,0,0
INFJ,NF,This Is Inf,37i9dQZF1DZ06evO3SeHZd,50,0.6654,0.104156084,0.41108,0.152028306,-10.79756,2.925748871,0.26,0.443087498,0.088266,0.084354027,0.237461314,0.253112287,0.189096,0.162794744,0.43454,0.194995469,99.42746,28.48007585,0.662444266,0.273933607,5,3,2,1,6,4,3,0,3,0,1,1,2,1,2,2,3,1,6,0,0,4,0,0
INFJ,NF,This Is INF1N1TE,37i9dQZF1DZ06evO2gEhGg,50,0.62752,0.089986675,0.89672,0.091512693,-3.39622,1.789910353,0.5,0.505076272,0.187964,0.137097595,0.014073806,0.058866887,0.218584,0.17038082,0.33932,0.209851837,134.09514,33.44215299,0.124323663,0.226818795,0,2,2,10,0,5,0,0,4,1,5,0,7,2,0,1,1,3,0,1,0,5,1,0
INFJ,NF,Infj 😌,2J1Xdogu9HbBxJvrutXGNi,42,0.583666667,0.142936566,0.572880952,0.18398929,-7.942238095,2.847797264,0.714285714,0.457229957,0.077035714,0.093735314,0.274363,0.275511766,0.162547619,0.104165345,0.453688095,0.220730744,118.3581905,26.38745801,0.046877857,0.157276692,1,8,2,2,0,4,0,1,3,3,1,2,1,0,0,4,0,1,2,4,1,2,0,0
INFJ,NF,infj women,1o0KTRvQ1vviGUk5A9osMT,16,0.4171875,0.161166257,0.4975625,0.24992398,-9.3136875,4.674821247,0.375,0.5,0.0403875,0.01469412,0.405877625,0.406346165,0.157525,0.098305269,0.3086875,0.237063063,119.9610625,31.12146296,0.26004915,0.308060879,1,0,1,1,0,1,0,0,1,0,0,2,2,0,3,1,1,0,0,1,0,1,0,0
INFJ,NF,This Is I.N.F,37i9dQZF1DZ06evO2BZHgQ,50,0.63826,0.129633205,0.73156,0.161168458,-7.10216,2.427523407,0.48,0.50467205,0.3071,0.103998087,0.1229784,0.15618735,0.247842,0.191113386,0.58396,0.179949989,108.17912,36.18521933,3.08E-05,8.87E-05,0,0,2,5,0,3,1,0,3,1,1,1,2,6,0,5,1,2,0,1,0,8,8,0
INFJ,NF,infj songs,39oj6TOAf9CPaPjQD9NmM5,50,0.52164,0.121844793,0.55026,0.221570997,-8.45342,3.723905812,0.56,0.501426536,0.050188,0.045119029,0.38992784,0.334456642,0.136134,0.074618241,0.365432,0.197532665,110.48428,25.96603256,0.135575695,0.286762713,3,5,1,1,0,2,0,1,1,1,3,5,2,2,3,4,2,1,1,1,3,5,1,2
INFJ,NF,the infj villain,0boPB8t57SSS8l2Hl4Tnh1,50,0.54786,0.127208652,0.70058,0.179955107,-5.97602,2.006154037,0.5,0.505076272,0.077266,0.063031021,0.12547534,0.189566633,0.192144,0.166285965,0.45394,0.202485919,119.26778,33.38755463,0.017600266,0.082381688,0,2,3,4,4,3,1,0,3,1,3,1,2,0,1,4,1,6,3,2,2,2,2,0
INFJ,NF,infj-t,1uYp2jw8kcuBA8ZRwqQ1pQ,50,0.53212,0.164636475,0.43109,0.209811862,-9.74064,3.653842846,0.86,0.350509833,0.062516,0.074257817,0.538498188,0.354357492,0.166352,0.107325646,0.383764,0.233524532,114.40278,30.88004715,0.106034448,0.227573434,2,6,0,1,0,7,0,0,2,6,1,7,1,3,1,4,0,1,0,2,5,0,0,1
INFJ,NF,infj anthems,171amjDXELO7G60AFXxSoo,50,0.51266,0.121579337,0.451044,0.217290054,-9.10818,3.900537026,0.66,0.478518121,0.03808,0.012696344,0.4875832,0.354981187,0.14528,0.081779532,0.24735,0.155660682,115.19374,26.48410414,0.088722271,0.195121983,1,4,2,2,0,4,0,1,3,4,3,2,2,0,1,4,1,2,1,4,4,1,2,2
INFJ,NF,INFJ (PDB),56neB7M8J9soAbHk2BZL8i,50,0.518552,0.140484826,0.57806,0.215347693,-7.432,3.928174967,0.56,0.501426536,0.0569,0.053037418,0.314371634,0.354076638,0.149354,0.086891312,0.382552,0.17956606,111.44706,27.77782079,0.071796816,0.180220633,4,5,1,6,3,3,1,1,1,1,2,3,2,1,1,2,1,3,2,1,2,3,1,0
INFJ,NF,INFJ૮₍˶• . • ⑅ ₎ა,0SeKF1AK3e1OaesI7bBUxU,50,0.55322,0.16807242,0.6052,0.200718099,-7.47684,2.962095159,0.7,0.46291005,0.04474,0.023592103,0.32760708,0.333303867,0.184788,0.134359769,0.51142,0.239417583,123.97474,30.77856865,0.143682549,0.30986175,2,4,3,2,0,5,0,2,1,0,0,3,2,2,3,5,0,4,1,4,2,3,0,2
INFJ,NF,INFJ community,5kIG72Gnmdj62hL88FuILz,50,0.51762,0.150096553,0.61586,0.170597511,-7.18988,2.337536604,0.52,0.50467205,0.050334,0.038008805,0.2934965,0.312060227,0.173358,0.109351332,0.327334,0.188863113,113.62254,23.36950536,0.107046673,0.241220228,4,3,2,2,1,1,0,1,2,1,1,3,4,1,3,3,0,3,4,4,4,1,2,0
INFJ,NF,for the infj ,744xfGtw16CwlW59YkTiU3,50,0.54256,0.138105278,0.563318,0.200740067,-8.6667,2.904833468,0.72,0.453557368,0.04839,0.037212595,0.38826352,0.321971261,0.212354,0.155330297,0.43016,0.227380888,118.01964,29.67301633,0.177788158,0.27899173,3,4,3,1,1,4,0,1,4,2,0,3,0,7,1,6,0,2,1,3,2,1,0,1
INFJ,NF,Infj,4wCAPoDLrnK8ljpkfbWkxx,50,0.53026,0.141893005,0.69014,0.162906761,-6.73336,2.594439374,0.52,0.50467205,0.055892,0.056145605,0.185469508,0.214289831,0.197954,0.123234825,0.46668,0.182133663,123.22546,32.823542,0.195036841,0.309712103,6,4,2,2,1,1,1,1,4,2,2,2,1,2,1,1,1,3,5,6,2,0,0,0
INFJ,NF,INFJ,0IIzVq5MIoKnduwpBcpiGQ,50,0.6062,0.136174708,0.4305,0.204901395,-9.2936,3.223946346,0.84,0.37032804,0.04439,0.018283373,0.5366038,0.304660752,0.138434,0.066891394,0.354966,0.196737048,113.5323,24.62473309,0.010447452,0.035594742,2,9,0,1,1,5,0,1,0,4,0,5,1,1,1,3,0,5,2,0,2,1,0,6
INFJ,NF,Infp but it's actual infp songs,72PVFthY1iGZy9a2MDJfKf,33,0.587636364,0.135644254,0.556272727,0.191641963,-8.21569697,3.356867471,0.636363636,0.48850421,0.074272727,0.083388227,0.341433939,0.267076757,0.154542424,0.112495672,0.44760303,0.216068682,131.8712424,33.21600809,0.061040864,0.177558727,1,5,0,1,1,1,1,0,4,0,1,2,0,0,1,3,1,2,1,2,1,0,1,4
INFJ,NF,INFJ woman.,2SgKZnyGC9GHH53sXswVDy,50,0.62928,0.135066581,0.63706,0.168476657,-6.42328,1.940351052,0.54,0.503457434,0.111286,0.111278034,0.18657462,0.199056021,0.136702,0.080628545,0.481214,0.219679046,126.8396,30.90532126,0.049631415,0.13104362,3,5,3,2,1,1,1,1,1,2,1,3,3,1,1,4,3,2,1,3,3,3,2,0
INFJ,NF,Infj,1HNlG2Ri423ZOFvgfYQnhF,50,0.54582,0.121638254,0.59386,0.188923914,-7.33554,2.609062387,0.62,0.490314351,0.070482,0.062795381,0.295434808,0.285290254,0.1841,0.139178033,0.350798,0.187474797,128.65244,31.56939542,0.084820897,0.224503876,2,4,0,4,0,3,0,1,2,1,3,5,2,3,1,1,2,2,3,2,4,2,2,1
INFJ,NF,INFJ vibes,0m5pMLkSfKXNpHQreYF0RW,50,0.5113,0.149249859,0.5073242,0.244274786,-9.39012,5.794352545,0.76,0.431419111,0.054136,0.046381104,0.3930144,0.354986175,0.176626,0.146228259,0.406804,0.262752001,118.95402,31.30423535,0.144841121,0.264217508,0,8,2,1,1,9,0,2,2,2,2,2,0,4,1,2,0,3,3,4,1,0,1,0
INFJ,NF,INFJ Kpop Songs,2fLyPEfr4b47Jre4c2TQGH,50,0.60448,0.105678032,0.70738,0.162665161,-4.88694,1.773857268,0.52,0.50467205,0.074528,0.070618732,0.15434742,0.184710531,0.186066,0.101176033,0.4634,0.172460466,121.5732,29.56116937,9.38E-05,0.000469975,2,0,4,5,2,1,0,1,2,2,4,3,1,2,1,1,2,8,0,0,1,4,2,2
INFJ,NF,INFJ,23y6Hlav7ZEthIx4nfiprZ,50,0.4881,0.166805306,0.506954,0.253073716,-9.49508,4.183391715,0.66,0.478518121,0.054822,0.050365838,0.386098558,0.328695035,0.184582,0.164492793,0.371356,0.250188341,119.72244,31.32106463,0.132910189,0.281940619,1,4,0,3,1,6,1,2,2,2,0,3,2,1,5,3,2,1,2,3,2,1,0,3
INFJ,NF,infj vibes,2PyywxAvnoLxSMzssBjuoK,50,0.52674,0.133964023,0.550912,0.218998319,-8.30766,4.761280884,0.66,0.478518121,0.055546,0.051624208,0.3497724,0.33064145,0.210724,0.149932267,0.373556,0.21825646,113.2782,33.00677811,0.102711253,0.212948939,1,4,2,1,1,2,0,3,2,3,2,7,3,3,0,1,0,2,4,4,3,2,0,0
INFJ,NF,infj soundtrack..,2D3s8Lppph2KvOnQtr0r0t,50,0.48752,0.151999227,0.479928,0.231612021,-9.87042,4.537971978,0.7,0.46291005,0.0459,0.022295923,0.4778648,0.358470236,0.128782,0.063547067,0.308142,0.204331646,118.41574,28.79814041,0.164473132,0.289094056,2,6,1,4,2,6,1,0,2,2,2,2,2,3,1,6,0,1,0,1,3,2,0,1
INFJ,NF,infj // the visionary ,2fHK41mb288anu6dQDNuB8,48,0.514895833,0.154590501,0.511916667,0.218248719,-10.5181875,4.551624894,0.791666667,0.410414079,0.044964583,0.038318011,0.446229929,0.359849067,0.161095833,0.114117757,0.374872917,0.254105141,125.1321667,35.8905349,0.35849526,0.361768163,0,7,1,2,0,3,0,0,1,6,1,1,1,5,1,4,1,2,2,4,1,2,0,3
INFJ,NF,🎧 INFJ/9w1 🌊,2wAA5kRItemscc0sqyWvOx,50,0.51804,0.140345195,0.556808,0.243264293,-9.4362,4.677818408,0.64,0.484873221,0.05474,0.045938619,0.35393826,0.341011261,0.150914,0.12072524,0.412128,0.227781696,123.04246,36.58920625,0.300116857,0.389427596,2,0,3,2,1,5,0,2,1,1,0,4,2,2,2,5,2,3,2,5,2,3,0,1
