mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,DMajor_count,D#_Ebminor_count,D#_EbMajor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/Gbminor_count,GMajor_count,G#/AbMajor_count,AMajor_count,A#/Bbminor_count,A#/BbMajor_count,Bminor_count,BMajor_count,F#/GbMajor_count,Gminor_count,G#/Abminor_count,Aminor_count,Dminor_count
ISTJ,SJ,ISTJ,0Re9fC5x4DJAZWTCvOM0nj,36,0.508611111,0.121067461,0.504416667,0.230824531,-9.086361111,3.984779149,0.583333333,0.5,0.064163889,0.064878137,0.420260444,0.340043065,0.146063889,0.083355857,0.296608333,0.177515585,118.0728333,31.12267716,0.157236366,0.28017536,2,4,1,1,2,0,0,0,1,2,3,2,1,1,4,0,2,1,0,2,3,2,2,0
ISTJ,SJ,ISTJ's values,0e73cAuDPlQ3X8kP2W67TC,17,0.609117647,0.108355827,0.506235294,0.160765563,-9.040176471,2.591934274,0.705882353,0.469668218,0.083611765,0.058262712,0.398194118,0.276518924,0.173252941,0.115510671,0.444705882,0.168755654,117.3405294,39.12136529,0.022247657,0.087576294,0,2,0,0,1,1,0,0,1,1,1,0,2,0,3,2,1,0,0,1,1,0,0,0
ISTJ,SJ,istj made by an istj,1YDlGxCwnHD18LIxUCdYRd,28,0.558535714,0.184890254,0.559214286,0.237637813,-9.526571429,4.45099653,0.678571429,0.475594866,0.061071429,0.03368567,0.240415714,0.279694792,0.166596429,0.136792066,0.392835714,0.225824836,129.0824643,35.80404497,0.154087535,0.260253215,0,2,1,1,1,1,1,0,1,0,2,1,2,2,2,1,3,0,1,1,1,0,4,0
ISTJ,SJ,Istj,76I2yauVptFj4H3CqtLQGD,50,0.56966,0.121171932,0.595158,0.223531462,-8.01506,4.126836949,0.72,0.453557368,0.083228,0.089806584,0.284569,0.277437079,0.181464,0.137906086,0.48418,0.205168392,124.77134,31.35268864,0.036828798,0.146759879,0,5,1,4,2,0,2,2,1,2,6,0,9,1,2,1,1,4,2,1,0,0,2,2
ISTJ,SJ,ISTJ,3RqSdOTz8Zz72dBEVT7JrO,50,0.61382,0.153967223,0.75714,0.13359427,-5.1324,2.023789081,0.54,0.503457434,0.130164,0.10305954,0.101722928,0.165850731,0.212236,0.131039501,0.48856,0.212300438,127.43038,33.55854342,0.007847718,0.030055762,2,1,4,7,7,1,2,5,3,2,0,1,3,0,0,2,2,2,2,0,2,0,1,1
ISTJ,SJ,ISTJ,3Nn0M9rF3X5umZzMojv9CL,27,0.703407407,0.137810701,0.597592593,0.12845929,-7.817814815,2.635724423,0.703703704,0.465321627,0.100340741,0.073560955,0.282252593,0.218479572,0.155622222,0.085561765,0.458981481,0.196031418,112.7796667,23.32055684,9.37E-05,0.000363114,1,0,1,5,3,0,0,0,0,2,1,1,1,2,2,1,2,0,3,0,0,1,1,0
ISTJ,SJ,ISTJ ,3bHvNQPiyZ65kuvriBNGup,14,0.619285714,0.117521473,0.673857143,0.122273877,-5.106857143,1.926976861,0.428571429,0.513552591,0.0474,0.019558551,0.138662143,0.166360997,0.15,0.094769624,0.430785714,0.216878619,114.1225,22.94203627,0.024076153,0.056240899,3,0,1,1,2,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,1,0,2,0
ISTJ,SJ,God OFF / ISTJ,7tt2GX5h9ELKRIzPwZ61PP,50,0.60972,0.129441822,0.67384,0.172431869,-7.32446,2.839061631,0.68,0.471212071,0.069198,0.059404207,0.20677517,0.227662103,0.180894,0.138141537,0.47466,0.222270162,123.67158,30.74563283,0.072543926,0.169693265,1,3,2,8,5,0,0,1,4,3,1,1,4,4,2,3,0,2,2,1,1,1,1,0
ISTJ,SJ,ISTJ,0mcoLfM3gkDdwL7ngJUpr0,15,0.530466667,0.182903123,0.664533333,0.145083654,-6.4118,2.106510832,0.4,0.507092553,0.059913333,0.030405776,0.187035467,0.22516274,0.263033333,0.205304866,0.4154,0.192277255,126.9106667,35.66111478,0.024845047,0.063811513,1,1,3,0,1,0,0,1,0,0,2,0,0,1,0,0,1,0,0,0,1,1,0,2
ISTJ,SJ,ISTJ Type Beat,5l4jWrmH1z6rsmWlt4y0zw,16,0.5700625,0.09680597,0.6484375,0.25255784,-7.514625,4.005190364,0.875,0.341565026,0.03895625,0.014798467,0.265618125,0.355140901,0.1110875,0.036242569,0.454875,0.185423434,124.61225,21.34712467,0.092084806,0.198307875,0,3,0,0,2,1,1,1,0,0,1,0,4,0,2,0,0,0,1,0,0,0,0,0
ISTJ,SJ,istj,3yPDxzOKVmctwv3MaDMGjD,36,0.546083333,0.137908122,0.543277778,0.187746426,-8.464555556,3.182857346,0.527777778,0.506309398,0.04595,0.026834961,0.315447068,0.322500911,0.171061111,0.119602903,0.34175,0.206695371,121.2176111,23.16614563,0.0880553,0.228960829,1,3,3,2,3,0,0,2,1,2,2,1,2,1,2,3,1,1,1,1,3,0,0,1
ISTJ,SJ,infp to istj era,5O9q8DyqFCN2RhyeWZ9ia2,36,0.582694444,0.12745236,0.724888889,0.15420372,-4.780388889,1.43648705,0.888888889,0.318727629,0.081697222,0.072504303,0.191311389,0.153901325,0.201263889,0.145668134,0.505416667,0.203417568,127.9546389,32.6904863,2.57E-05,0.000138075,1,4,0,4,3,1,3,1,4,0,4,1,2,1,3,0,2,0,2,0,0,0,0,0
ISTJ,SJ,ISTJ 💠,5q3ETOJMc2o1miVoTBYuva,50,0.52856,0.149482257,0.462454,0.223439522,-9.71876,4.988983253,0.78,0.418451958,0.04618,0.041072221,0.4714629,0.364058172,0.14586,0.08873788,0.37947,0.230488886,121.2509,31.70709799,0.158178388,0.280084718,1,4,1,2,4,0,2,2,1,1,5,2,5,1,6,1,5,0,0,4,2,0,1,0
ISTJ,SJ,ISTJ ,5lFP9BjbdbI84MYT8hewkD,50,0.59706,0.150256164,0.62472,0.171912298,-7.08072,2.478876927,0.62,0.490314351,0.06584,0.069612815,0.148965568,0.17870525,0.179828,0.125483572,0.420308,0.214618466,123.06666,29.58320018,0.134084362,0.253302983,0,6,0,4,3,0,0,5,4,0,4,4,1,2,4,1,0,2,1,2,1,0,6,0
ISTJ,SJ,istj,6ZwvfVF1CHP0p4IBag8ONw,50,0.58146,0.10023039,0.63458,0.180551094,-5.42932,1.862971934,0.84,0.37032804,0.065254,0.064343178,0.3442226,0.259784725,0.15314,0.100778903,0.4308,0.17074662,123.80686,30.74872471,1.98E-06,9.16E-06,0,5,1,8,2,0,5,0,2,2,6,1,4,4,2,1,1,1,2,1,0,0,1,1
ISTJ,SJ,ISTJ INFP taste,7BwoRcBv8zNa7hs6tjwVZH,50,0.695,0.11343127,0.77886,0.10996122,-4.37506,1.628146504,0.64,0.484873221,0.084454,0.055730801,0.143711,0.161111526,0.169768,0.11695333,0.66768,0.151751871,123.75146,27.13513606,0.000219998,0.001012003,0,4,0,4,3,1,0,1,0,3,3,3,3,7,5,3,1,3,2,0,1,1,1,1
ISTJ,SJ,ISTJ,43Vqe1VmxbSpNzPChBHAgv,9,0.309111111,0.224829071,0.139312222,0.14044009,-23.35233333,7.84174354,0.222222222,0.440958552,0.036611111,0.014154014,0.747566667,0.348264612,0.110855556,0.04504881,0.088022222,0.081902057,97.016,41.13696754,0.825555556,0.233534853,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,2
ISTJ,SJ,istj,05oVkhEBT0V1hJCW8mF6D4,48,0.5535,0.129984287,0.586375,0.194744636,-7.494416667,3.406896846,0.458333333,0.503533613,0.052652083,0.048714968,0.239576979,0.266489509,0.19510625,0.126115373,0.4049375,0.22826772,115.2878125,26.67290573,0.043634666,0.153724686,2,4,1,5,2,0,0,4,2,2,1,2,1,2,2,3,1,2,1,1,1,1,6,2
ISTJ,SJ,istj tings,0ac2o4WdUfMPA98nCMOQja,21,0.622428571,0.124480348,0.532204762,0.250468242,-9.307666667,4.480545607,0.714285714,0.46291005,0.076409524,0.079708035,0.428437781,0.350349308,0.176361905,0.116543157,0.52,0.20583027,114.1119048,22.43850651,0.086515297,0.230412464,0,5,0,0,1,0,0,2,2,0,1,1,1,0,1,0,1,0,2,1,0,0,2,1
ISTJ,SJ,ISTJ 🦋,2jTDHVMd8LGk6U5XGneOq9,15,0.525066667,0.120148995,0.566133333,0.115763223,-7.812266667,2.341653002,0.8,0.414039336,0.041953333,0.022341501,0.2474796,0.298765879,0.158906667,0.084667758,0.2882,0.153322815,139.8458,33.06673015,0.009144303,0.032656552,0,1,1,1,0,0,0,0,1,0,2,0,1,3,1,0,0,0,2,0,0,1,1,0
ISTJ,SJ,ISTJ (PDB),0EctXmIqa6mA4uLo5TojBT,50,0.53996,0.150386978,0.53387,0.250167104,-8.90694,3.748617119,0.78,0.418451958,0.056342,0.050668761,0.36860232,0.347033838,0.137964,0.08742791,0.430104,0.271355876,116.044,32.52224826,0.100576588,0.255287447,1,7,2,5,2,0,0,2,3,0,2,2,5,3,3,0,5,0,1,3,3,0,0,1
ISTJ,SJ,Comfort Songs - ISTJ,22lLOvJbCcmGjLuUJK05XW,39,0.508897436,0.151633699,0.616230769,0.209531113,-7.468153846,2.900425455,0.794871795,0.409073869,0.050946154,0.042334817,0.194963872,0.277922231,0.1743,0.164433276,0.401074359,0.247572952,132.9851538,31.12367261,0.093186709,0.21561171,0,4,0,3,4,0,0,1,1,2,5,1,6,1,5,1,1,1,0,1,1,0,0,1
ISTJ,SJ,esfj x istj,3bF3pdi4J3BWhPzcFbVcyK,50,0.54564,0.114552503,0.51282,0.182528465,-7.74866,2.497990479,0.8,0.404061018,0.052866,0.045214634,0.47014816,0.323105531,0.144752,0.100004272,0.359942,0.16206284,115.66372,29.14915572,0.007363867,0.040573869,0,9,3,2,4,0,1,0,1,2,3,1,5,2,6,0,5,1,0,2,1,0,2,0
ISTJ,SJ,ISTJ mbti,6YRus1Xds7sHu6BLgdbF6q,29,0.569862069,0.198129057,0.517275862,0.239632739,-8.798551724,3.417762035,0.75862069,0.43549417,0.052462069,0.026289276,0.288242793,0.318420379,0.158844828,0.117574704,0.415310345,0.24194217,115.3137241,36.68489087,0.118227609,0.257112548,1,3,2,1,2,0,0,0,2,0,3,1,5,1,2,0,1,2,1,1,0,0,1,0
ISTJ,SJ, intj/istj playlist,3nS80iG5eDXHXIXTbjEfwC,50,0.58144,0.132278488,0.67036,0.177068275,-6.82856,3.218093136,0.6,0.494871659,0.08364,0.077601268,0.17218854,0.205853361,0.196294,0.135133458,0.53736,0.199738274,127.76922,31.34984983,0.096502669,0.246841928,0,5,1,3,2,0,4,3,2,2,2,1,0,3,4,3,1,4,1,3,2,0,4,0
ISTJ,SJ,ISTJ,1ZqNaoPSs7P6yQDaQYB9KA,35,0.638771429,0.162044672,0.6626,0.173620987,-6.281828571,2.261144407,0.628571429,0.490240894,0.071462857,0.070782588,0.218185877,0.238825718,0.165628571,0.132989207,0.559114286,0.208912277,123.9574571,31.91213245,0.027522509,0.117803148,0,2,2,3,0,2,1,4,4,2,2,1,2,2,2,1,1,1,1,2,0,0,0,0
ISTJ,SJ,Istj mood,7IPp6nHSWdZnbNgRfTGVfd,22,0.557863636,0.131682987,0.660990909,0.218811556,-7.365909091,3.394423479,0.409090909,0.50323628,0.060290909,0.05247627,0.189791695,0.254760133,0.178927273,0.147782621,0.427181818,0.250446579,114.8124545,29.60270226,0.204281764,0.338221614,2,0,1,0,1,0,0,0,1,0,2,3,0,3,0,1,1,1,0,1,2,2,1,0
ISTJ,SJ,ISTJ,3xfZFgZQKEqPz8EJQxwMnX,37,0.603621622,0.132296038,0.547567568,0.19705943,-6.944405405,2.276092844,0.702702703,0.463373192,0.066489189,0.063222586,0.463012162,0.310377816,0.207610811,0.111246917,0.403035135,0.198884922,113.4455946,30.79534993,0.058520116,0.212836486,0,2,1,1,3,1,1,2,3,2,2,0,1,3,6,1,2,0,1,1,1,0,2,1
ISTJ,SJ,「 istj 」,3vIoTaSq2yQbjtXdA8VXcx,50,0.345826,0.121472427,0.0945162,0.083538447,-22.20952,5.738935744,0.28,0.453557368,0.04098,0.006377608,0.96398,0.044776766,0.10458,0.017714009,0.167524,0.104639021,109.71524,35.56298726,0.8589278,0.211953383,3,0,0,1,3,1,4,4,1,3,2,1,1,1,0,3,1,5,0,0,2,1,8,5
ISTJ,SJ,embodying the istj slytherin gemini i am,5fmJNZeVrIMDFRhNwjpmC2,50,0.58342,0.15020545,0.61088,0.158620281,-7.42362,2.273424755,0.54,0.503457434,0.053132,0.033274489,0.187132319,0.198214722,0.161066,0.118544599,0.388672,0.218081527,114.58972,26.4248016,0.048728139,0.153051471,3,10,1,2,1,1,0,2,0,2,0,1,4,1,3,3,5,3,0,1,3,0,4,0
ISTJ,SJ,"estj, entj, intj, istj, istp",6Q4l73KN7JDLOebGK4jkBl,33,0.629,0.151752471,0.678272727,0.156150623,-6.378,3.06762407,0.606060606,0.496197663,0.08510303,0.079852972,0.144079364,0.177678334,0.218081818,0.159427708,0.529666667,0.23501086,126.5639697,27.51059058,0.098734635,0.231491649,1,4,0,2,2,0,1,1,2,1,3,2,1,1,3,1,0,0,0,1,1,1,5,0
ISTJ,SJ,ISTJ,2hv5ZZj0kA0iCT7C2j5ife,15,0.496333333,0.147987773,0.588466667,0.236942087,-8.456466667,4.605904252,0.666666667,0.487950036,0.055066667,0.047670576,0.2522732,0.29076052,0.154166667,0.066009498,0.372833333,0.23082087,115.2802667,28.87649671,0.001003183,0.00222685,3,0,0,1,1,1,0,0,2,0,2,1,1,0,2,0,0,0,0,1,0,0,0,0
ISTJ,SJ,ISTJ x INTJ,3w8ho1s0cvk5JJ5sXHXQj7,49,0.571979592,0.164955106,0.63244898,0.17892073,-6.633755102,3.055291145,0.571428571,0.5,0.060885714,0.041720419,0.283501796,0.29877524,0.173067347,0.104362494,0.502061224,0.214699636,128.2770612,34.31903539,0.089017105,0.224247194,1,5,2,2,2,4,0,1,3,1,1,3,3,4,5,0,0,4,1,2,3,1,1,0
ISTJ,SJ,ISTJ  ,5I04P3MhsKnlk8LmEEP0GS,50,0.47498,0.136856918,0.538926,0.232370825,-9.87972,3.873711378,0.72,0.453557368,0.040372,0.019849094,0.217534192,0.235001381,0.145092,0.082496082,0.428748,0.229516279,123.48728,25.1091051,0.143609351,0.247130396,0,11,1,0,4,0,1,7,3,0,1,2,6,1,4,0,3,3,2,0,0,1,0,0
ISTJ,SJ,istj-t,1i5KbQIgsR4xpkEGZjcrbt,50,0.5284,0.14706822,0.5426,0.152603795,-7.65152,2.13095513,0.78,0.418451958,0.042008,0.046071647,0.346350751,0.317473455,0.152414,0.094505752,0.367022,0.229539478,111.0349,27.02850258,0.170421906,0.300968501,1,8,2,2,2,0,3,1,2,1,4,1,2,4,3,1,2,1,4,3,1,1,1,0
ISTJ,SJ,Sei lá musicas que um istj escuta,2vltvPFZoKKI7YToJA8nTX,50,0.60382,0.153266567,0.64642,0.179089772,-7.87384,3.187250759,0.58,0.498569382,0.08084,0.078015878,0.20031042,0.257614149,0.19956,0.163919412,0.484492,0.222058394,119.68582,30.61970261,0.12940227,0.259828918,2,3,0,5,4,0,0,2,1,4,1,2,1,4,7,2,1,2,1,1,3,1,3,0
ISTJ,SJ,"infj, intj, istj, intp, infp",74zPobBKxQk5TQUcYHIvoE,50,0.65276,0.139023498,0.5853,0.135096224,-7.50856,2.64969507,0.42,0.498569382,0.088278,0.071204908,0.20425454,0.225691657,0.207662,0.155631961,0.374814,0.178345122,116.92034,23.99039418,0.030988478,0.111010134,2,3,5,3,4,0,0,1,1,2,1,1,1,2,2,5,2,4,0,2,2,0,4,3
ISTJ,SJ,istj 23,41hhcM19AkTWgIeY7D5734,50,0.58584,0.111831389,0.41092,0.182343457,-9.36508,3.461985038,0.8,0.404061018,0.0473,0.024937997,0.62129328,0.304152945,0.12973,0.073477794,0.38752,0.166777285,106.66572,25.31849034,0.025669396,0.110742555,1,5,2,2,3,0,2,2,3,3,5,0,5,4,2,1,1,1,3,5,0,0,0,0
ISTJ,SJ,ISTJ playlist,033ZTVgm58MDoHiWXWWosw,38,0.562394737,0.113554497,0.666710526,0.175895532,-8.160921053,3.014981488,0.684210526,0.471069121,0.06115,0.052388557,0.247840789,0.249758667,0.198378947,0.153143034,0.443276316,0.207726511,127.3761579,34.02106597,0.199167477,0.33942746,0,2,0,4,2,1,0,3,1,3,4,1,1,2,2,1,0,0,4,4,1,0,2,0
ISTJ,SJ,Istj vibe,3RwG6lxgLNnGW9RMWfftt3,42,0.659095238,0.131824867,0.665952381,0.159792389,-5.873261905,1.702281526,0.523809524,0.505486737,0.081533333,0.075458477,0.126425,0.204291545,0.184557143,0.136926931,0.495742857,0.223710654,118.6714524,26.12844169,0.008653879,0.029164636,1,4,2,0,3,0,1,3,1,3,3,2,3,3,2,3,1,4,0,1,2,0,0,0
ISTJ,SJ,istj,3y9cnhSdUyUl4o8AgArXA2,50,0.6037,0.110259296,0.59574,0.172424466,-6.73938,2.132315154,0.74,0.443087498,0.054678,0.042699316,0.30172906,0.24153346,0.156842,0.108949445,0.45866,0.195205032,122.61728,31.80189027,0.029952168,0.124774409,1,4,1,4,5,0,1,2,2,2,7,3,3,5,1,0,2,3,2,1,1,0,0,0
ISTJ,SJ,istj 1w9 struggles,2U1sOdXvt3AW8sFLWionks,4,0.76275,0.088205725,0.67225,0.154603525,-6.28125,2.676533501,0.5,0.577350269,0.06755,0.040088444,0.334625,0.225462257,0.247,0.151993421,0.60175,0.087568545,121.26025,19.14886043,9.18E-06,1.84E-05,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
ISTJ,SJ,a playlist for istj,37YGG7PnpLklXsBsr5pCQg,15,0.521933333,0.106168644,0.463466667,0.202425601,-8.802266667,3.039604802,0.8,0.414039336,0.06116,0.043847655,0.557446667,0.289920986,0.174946667,0.099220569,0.326746667,0.158106537,102.3487333,16.99424707,0.074427304,0.209423172,0,0,0,0,0,1,3,0,0,1,4,0,0,0,3,0,1,1,0,1,0,0,0,0
ISTJ,SJ,ISTJ,6GfKSkwhNGv8YpKazSw3JL,40,0.493,0.169317484,0.57665,0.204271256,-8.3437,3.71333922,0.525,0.505736325,0.04202,0.020075016,0.341598465,0.340968616,0.15258,0.108325931,0.3868525,0.229678463,122.798125,28.50117302,0.214260813,0.35043104,2,7,0,4,3,3,0,1,0,1,2,0,2,0,2,0,0,3,0,1,1,1,6,1
ISTJ,SJ,istj 5w6,0WEd5QOCDuQfLoihPXKof1,24,0.554541667,0.153881936,0.6996375,0.190542878,-7.221208333,3.387670535,0.625,0.494535355,0.067079167,0.061987032,0.193965417,0.250436935,0.191525,0.16933359,0.5126875,0.284887537,125.7480833,30.28881389,0.221615446,0.3101793,0,3,0,1,1,0,1,2,0,0,2,2,3,1,2,0,0,0,1,0,0,1,2,2
ISTJ,SJ,22istjetztda,6K64j0COd2m0UNxspfOPvV,50,0.65726,0.135695008,0.6272,0.161564545,-8.41952,2.979953062,0.58,0.498569382,0.121432,0.116375784,0.319304478,0.262476054,0.182258,0.115528929,0.531394,0.235096632,125.86728,32.71962609,0.137665606,0.255421105,2,6,0,2,6,1,1,3,2,0,3,3,2,3,2,1,2,6,0,0,1,1,1,2
ISTJ,SJ,istj lvfe,1fgHpCc8PRyKtApTLLzbQc,50,0.51454,0.138627266,0.60992,0.176399921,-7.45378,2.729900322,0.56,0.501426536,0.042542,0.019111286,0.239384098,0.279464773,0.15747,0.114055989,0.40123,0.20495343,115.45802,29.44697528,0.126743989,0.228545285,3,5,1,2,4,0,1,2,1,2,3,3,2,4,2,1,1,3,0,3,4,1,2,0
ISTJ,SJ,istj.,0y1xAynUWVLMcR2RCiczcW,50,0.52304,0.141382093,0.5071,0.229943316,-8.90776,4.062508447,0.64,0.484873221,0.05732,0.064565196,0.48696078,0.358885577,0.184322,0.140648387,0.366008,0.203690637,120.47644,29.54113959,0.068973031,0.203676184,2,7,2,2,3,1,4,6,1,1,4,1,3,0,3,2,1,2,3,1,0,0,0,1
ISTJ,SJ,Istj | Ev,085LtibfmFUU657dooyQBn,50,0.54758,0.132457631,0.48598,0.197015641,-9.57106,2.851489188,0.88,0.328260723,0.042006,0.023946773,0.5307646,0.284163046,0.147028,0.128130093,0.410998,0.194189693,116.18148,27.19309719,0.048354632,0.152946749,1,7,1,3,7,1,1,0,4,0,3,0,6,2,5,0,2,1,1,3,0,0,2,0
ISTJ,SJ,istj ass actin' up,6iDbohhNKXVKePqVozILEJ,31,0.656354839,0.147799312,0.554935484,0.11997109,-7.312612903,2.193534175,0.451612903,0.505879411,0.094983871,0.076773025,0.215026452,0.213506454,0.1454,0.095507884,0.37586129,0.207172319,119.626129,31.2276627,0.010854148,0.03672684,1,1,0,0,2,1,0,1,0,3,2,2,2,3,0,1,1,2,1,2,1,2,2,1
ISTJ,SJ,ISTJ PLAYLIST,5y4B42w1ldg8DXXv5sWRgw,10,0.7297,0.114515453,0.549,0.204257463,-7.338,3.582375624,1,0,0.11197,0.124071924,0.45506,0.358148564,0.21146,0.145765963,0.5547,0.185321972,114.3182,25.67525448,0.054463624,0.172005656,0,4,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
ISTJ,SJ,ISTJ 1w9 vibes 🗿,5gY7k4Vw81BXDh5u47X1Sf,42,0.576928571,0.161988466,0.630238095,0.219028432,-8.481809524,4.081510889,0.523809524,0.505486737,0.042945238,0.017645869,0.272083214,0.30940009,0.166752381,0.120373393,0.530816667,0.240769735,124.3479762,28.40959479,0.147771448,0.296947442,2,4,0,2,3,2,2,3,1,1,3,1,2,0,2,0,2,3,0,1,1,1,4,2
ISTJ,SJ,JCs: For the ISTJs 🧘🏻‍♀️🧘🏾‍♂️,5HS5syPwfxGGGYW6aCjxwa,29,0.609862069,0.162431024,0.501448276,0.196989229,-10.07962069,3.273635838,0.75862069,0.43549417,0.044706897,0.023784147,0.47487931,0.282830984,0.139582759,0.07713046,0.504931034,0.2471561,106.1413103,27.06065431,0.416535672,0.402797236,0,2,0,1,6,0,1,1,2,1,0,0,3,2,2,0,1,3,0,2,0,0,2,0
