mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,DMajor_count,D#_EbMajor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/Gbminor_count,Gminor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/Bbminor_count,A#/BbMajor_count,Bminor_count,BMajor_count,F#/GbMajor_count,D#_Ebminor_count,Dminor_count
ENTP,NT,ENTP songs,1EzjgL6RF95f5QoZ7GhXUE,50,0.64574,0.14215209,0.68218,0.170208598,-6.06334,2.70623916,0.6,0.494871659,0.109894,0.10564861,0.15875534,0.212743941,0.198868,0.139494444,0.57524,0.209332911,125.70442,28.76801004,0.027423366,0.066358051,0,4,2,4,4,1,4,2,2,3,1,0,4,1,2,2,2,1,1,4,2,1,2,1
ENTP,NT,entp x infj,4ovXM2PgaToExxIcOCUDr2,50,0.4828,0.145756436,0.612556,0.277638816,-9.52602,5.694494457,0.72,0.453557368,0.051092,0.024118566,0.27934461,0.363287381,0.18906,0.129227006,0.437738,0.252016632,128.38728,34.66313932,0.155477135,0.302439947,1,9,0,4,3,1,0,2,2,1,3,0,5,0,2,2,3,2,2,2,2,2,1,1
ENTP,NT,ENTP playlist from an ENTP,7u6DsKtBpsl5klRwWbePtk,50,0.66302,0.151081744,0.71912,0.169126404,-5.48224,2.20678717,0.52,0.50467205,0.07132,0.055179607,0.1282063,0.200590034,0.168274,0.1288798,0.58446,0.221686597,124.21842,26.44100739,0.021010209,0.069012987,1,2,1,4,3,0,2,4,4,2,1,0,3,2,1,4,1,2,1,5,2,3,0,2
ENTP,NT,ENTP 💜,0LgehaT10TJG8ceNlU0zN2,47,0.627787234,0.13812816,0.701978723,0.153672363,-5.536340426,2.317439819,0.510638298,0.505291153,0.105257447,0.106092392,0.133335447,0.192478115,0.177182979,0.108821784,0.536765957,0.210281821,124.4630851,28.67814733,0.02024965,0.059988405,2,4,1,4,3,1,1,1,6,2,4,1,3,2,4,2,0,2,0,0,1,1,0,2
ENTP,NT,entp 7w8 moment,16zAdQo1I1UeDDq1vfhkMU,50,0.59966,0.138255842,0.75674,0.177718742,-5.1756,2.391377538,0.46,0.503457434,0.079476,0.073676346,0.12911888,0.182242182,0.162286,0.136106672,0.55428,0.203310263,122.821,28.94321947,0.042391263,0.123777985,3,1,4,6,3,0,2,1,4,2,4,0,3,0,2,5,1,1,2,4,1,1,0,0
ENTP,NT,entp,6yBM506XSdDBQ8ghjx3dag,48,0.593625,0.152758971,0.561329167,0.19995289,-8.642895833,4.045614349,0.645833333,0.483321105,0.059177083,0.051836228,0.332587917,0.308622404,0.219002083,0.159723987,0.429002083,0.220591517,117.7699792,30.01839749,0.093692689,0.214672757,2,2,0,3,4,0,2,2,0,4,2,1,5,2,3,2,5,2,1,4,0,2,0,0
ENTP,NT,Infp but it's actual infp songs,72PVFthY1iGZy9a2MDJfKf,33,0.587636364,0.135644254,0.556272727,0.191641963,-8.21569697,3.356867471,0.636363636,0.48850421,0.074272727,0.083388227,0.341433939,0.267076757,0.154542424,0.112495672,0.44760303,0.216068682,131.8712424,33.21600809,0.061040864,0.177558727,1,5,0,1,1,0,4,0,1,2,0,1,3,1,2,1,2,1,1,0,4,0,1,1
ENTP,NT,entp kpop songs,0ji4rcP2xecjRDhLDtJk67,50,0.71394,0.113712924,0.83308,0.074065288,-3.28792,1.200574537,0.36,0.484873221,0.10944,0.078723458,0.0884068,0.105756098,0.164116,0.152641269,0.64178,0.170950559,128.61892,27.5853466,0.000277691,0.001372646,1,1,1,6,2,0,1,1,8,1,5,0,4,2,0,2,1,4,0,6,2,0,1,1
ENTP,NT,entp x estp playlist,6ATL6hBF9GeJDRn3SG3N9S,50,0.67476,0.135907015,0.78836,0.128842692,-4.64054,1.809982278,0.56,0.501426536,0.090712,0.07707207,0.050916116,0.105199246,0.193358,0.133727258,0.53722,0.212770768,122.6714,26.36396089,0.082375008,0.234003991,1,3,1,5,3,0,2,1,3,2,3,1,4,1,3,5,3,3,1,1,2,1,1,0
ENTP,NT,entp,1OP0ynzq71Pr2CATdfLMpv,50,0.61698,0.181279634,0.69318,0.209800653,-6.15448,3.140054063,0.74,0.443087498,0.089604,0.099651421,0.16848866,0.236081958,0.198966,0.143406681,0.476844,0.22226458,123.13752,34.29698908,0.252339401,0.344609598,3,4,0,7,1,1,1,1,0,3,3,0,3,1,4,1,7,1,5,3,0,1,0,0
ENTP,NT,entp 8w7🐍,75saXENubHAvCiHHjUdqJC,50,0.68574,0.137657192,0.722,0.16673638,-5.84676,2.529073845,0.42,0.498569382,0.106704,0.09178745,0.11852828,0.18160633,0.212854,0.154963792,0.59306,0.207545757,116.49934,28.08145144,0.074636465,0.201030571,0,3,1,4,0,1,3,2,3,0,2,1,4,3,3,3,1,3,1,9,0,2,0,1
ENTP,NT,ENTP,5k1hDBaKIFNIIuU1mTn7yl,50,0.56718,0.150201999,0.62892,0.203125963,-7.2761,3.237920334,0.48,0.50467205,0.073236,0.052288008,0.22252965,0.261579076,0.193046,0.151437369,0.450016,0.203332553,118.90072,28.44140545,0.060803755,0.137285586,2,3,0,1,2,2,6,2,6,2,2,2,3,0,2,5,2,2,2,0,3,0,0,1
ENTP,NT,entpowa persona,50LiKm8DtkW6hHDIlHs8mv,50,0.55272,0.122785866,0.68626,0.195692784,-8.45806,3.526715888,0.52,0.50467205,0.053478,0.037896138,0.149294856,0.210995577,0.20024,0.13545284,0.49361,0.240010997,126.55966,27.38837049,0.134993034,0.250893823,5,5,4,5,1,1,2,2,1,1,0,0,3,1,3,6,3,2,1,1,1,0,0,2
ENTP,NT,ENTP villain,0IKFzHXlp4jBKz1FdPXiV9,47,0.626744681,0.147763246,0.677276596,0.21515108,-6.389787234,2.850309151,0.489361702,0.505291153,0.107440426,0.108602175,0.181635957,0.197392229,0.224753191,0.162696301,0.501638298,0.203700913,118.2350213,32.77568214,0.053501959,0.168502658,1,7,1,2,4,1,7,1,2,1,1,2,4,0,1,5,0,0,0,3,0,2,1,1
ENTP,NT,ENTP,11NeKvh3yjSFIKykfXY5Cr,50,0.521246,0.170952092,0.710842,0.193309922,-6.77532,3.979081149,0.5,0.505076272,0.100562,0.103872565,0.175394624,0.273472541,0.248388,0.190853944,0.45109,0.248491118,126.47232,32.42623479,0.149683731,0.296952289,1,1,0,4,7,0,3,0,4,0,1,0,2,3,3,1,6,3,0,5,1,1,1,3
ENTP,NT,entp with a god complex and a sharp eyeliner.,5P8OGPxKmZTXL3GRZqa1Nz,50,0.51886,0.114077848,0.76084,0.218460043,-5.84096,3.079868808,0.48,0.50467205,0.07999,0.065620872,0.20142744,0.295134865,0.18059,0.145511975,0.48594,0.227079543,128.51216,31.14023197,0.048015685,0.152722672,2,3,5,5,4,0,3,3,3,1,2,0,3,1,2,4,3,1,0,5,0,0,0,0
ENTP,NT,entp songs for entp women,6aIrCpFVCtyuHKnnxH20ZK,50,0.60706,0.165661372,0.64782,0.188214889,-7.09794,3.002030588,0.44,0.501426536,0.096992,0.1008896,0.23517334,0.269506993,0.157878,0.119517481,0.477664,0.229920168,124.99414,31.81974833,0.04419354,0.128115562,2,4,4,2,4,0,3,0,1,1,2,3,1,2,3,2,2,2,2,6,2,1,0,1
ENTP,NT,ENTP🔪,0RmFL51nwRWsRSAtpFvVcT,50,0.7079,0.162619658,0.74636,0.149391249,-5.60664,2.299220185,0.52,0.50467205,0.114682,0.098264119,0.15097618,0.188086593,0.215402,0.165958118,0.65074,0.211410406,116.39844,25.26761261,0.056685292,0.192967732,0,2,0,7,4,1,0,1,6,2,3,1,5,1,2,3,1,6,0,0,1,0,0,4
ENTP,NT,entp supremacy,2c0MUTrKr105wpoh2cO7b3,50,0.6225,0.130907702,0.72358,0.146838533,-5.86444,2.124076079,0.48,0.50467205,0.091238,0.074270548,0.118282672,0.172077281,0.173648,0.118637732,0.505976,0.209728581,122.42004,28.95655636,0.084064707,0.200802196,2,0,0,6,4,0,5,1,5,1,2,0,0,1,4,3,3,3,2,2,1,2,1,2
ENTP,NT,ENTP's being ENTP's,0v198zJ98W6lNOZQR74XHz,43,0.622046512,0.135703976,0.704325581,0.177128514,-6.423069767,3.12181576,0.534883721,0.504684588,0.100388372,0.092960269,0.120019256,0.203055185,0.202209302,0.148342698,0.568976744,0.219045276,125.1356977,32.33436282,0.032075462,0.12043873,1,2,5,1,5,0,2,2,3,2,1,1,5,2,3,2,1,1,1,1,0,1,0,1
ENTP,NT,ENTP,5VYLITy5arMcKFceTaOBLu,50,0.66992,0.156878978,0.7116,0.158742765,-5.68842,2.182544116,0.52,0.50467205,0.100698,0.100399233,0.08240462,0.128875506,0.24299,0.172745448,0.60364,0.218806387,118.10474,27.30811223,0.023176103,0.061769735,1,1,1,6,6,1,2,2,3,2,3,1,4,4,2,1,0,1,0,4,1,1,1,2
ENTP,NT,Entp,0WFUq195ruif7tr8fZCXGG,50,0.68896,0.142517591,0.7221,0.149625553,-6.30524,3.058091105,0.52,0.50467205,0.0897,0.071183577,0.12190234,0.165212115,0.186328,0.138633955,0.6508,0.233496843,123.00164,25.34360365,0.059434421,0.177526403,3,5,1,4,2,0,4,2,5,1,1,1,5,1,3,4,0,2,0,2,2,2,0,0
ENTP,NT,Entplatonisiert,1BLNEuWLBjNppnzW7SRDTf,39,0.588948718,0.13396385,0.607692308,0.164429341,-8.912384615,3.150151146,0.41025641,0.498310235,0.061346154,0.072872711,0.220314795,0.224336912,0.183158974,0.146069621,0.526015385,0.263815503,128.4258974,28.96026637,0.212794172,0.311148512,1,3,3,5,2,0,3,0,3,2,2,1,2,0,0,3,2,2,0,1,0,0,1,3
ENTP,NT,raging estp / entp,1D2xEzvk5fnnyXdUzhZyxt,50,0.65366,0.133138352,0.7244,0.156361564,-5.56382,2.327089482,0.54,0.503457434,0.108674,0.110589304,0.11414222,0.152526982,0.209328,0.162679663,0.62086,0.198704684,128.30246,27.7274017,0.020251999,0.073223909,1,4,2,3,2,1,4,1,3,2,1,1,4,2,4,4,0,1,1,4,2,3,0,0
ENTP,NT,entp & intj,68VnXmAXNGCOQ6Foq3Sl0t,50,0.60146,0.1130774,0.63332,0.155627425,-6.7399,2.477141286,0.88,0.328260723,0.055222,0.031799585,0.20436746,0.272624865,0.148286,0.096086902,0.4744,0.219455984,120.82158,28.91745089,0.021122428,0.114835237,0,5,1,2,7,1,1,5,0,6,1,0,6,0,5,1,3,1,2,0,1,1,0,1
ENTP,NT,Enfp and Entp songs because their chaotic.,7GBXbU8o60Lu6OYlhOq7K4,50,0.5741,0.156652514,0.65088,0.207251069,-8.00416,3.316678873,0.62,0.490314351,0.085052,0.095525392,0.217279608,0.268274564,0.197424,0.167560167,0.54564,0.208809918,126.9598,30.93499777,0.07509258,0.19740973,0,6,3,4,1,1,3,1,3,2,2,0,5,1,2,3,3,1,3,2,2,1,0,1
ENTP,NT,ENTP,1sP7oDckexsu61LHyr1G2O,35,0.6296,0.144320354,0.640857143,0.161422563,-6.053771429,2.046271661,0.342857143,0.481593992,0.10292,0.109441389,0.153040571,0.16754087,0.189208571,0.151351048,0.466028571,0.202162498,119.3539143,28.89884713,0.049186501,0.160651067,3,2,3,2,0,0,2,0,2,1,0,2,2,1,4,2,0,2,0,2,0,1,1,3
ENTP,NT,intp x entp playlist bc i want,6TNWxC7RKabVSsFsRllb4S,50,0.55352,0.14682535,0.579632,0.213158293,-8.59648,5.973949503,0.44,0.501426536,0.049122,0.027825039,0.21790196,0.309309136,0.1971,0.122640195,0.382772,0.218652634,123.82376,33.91625891,0.175086015,0.303184653,2,2,1,4,2,2,4,3,1,0,5,5,1,0,2,4,2,3,2,2,1,1,0,1
ENTP,NT,Entp🎸🎶,7JpQxei1Q2VOIvrl2LuBmO,50,0.58164,0.15727952,0.61728,0.168490421,-7.14558,2.924015544,0.46,0.503457434,0.100062,0.106921388,0.1574298,0.211183516,0.213782,0.134820892,0.454514,0.193838197,122.12582,30.70926815,0.042931476,0.146638189,1,3,1,2,3,0,6,2,3,2,2,1,2,1,1,3,3,4,2,1,1,2,0,4
ENTP,NT,"oh, to be entp",6gKN9GUi1mZogHojdwbLrI,50,0.57618,0.160543807,0.655526,0.214249981,-6.63952,2.958334137,0.44,0.501426536,0.095322,0.085550773,0.23672958,0.290301337,0.178556,0.097525595,0.489468,0.220652456,123.74244,30.03728706,0.023283601,0.054633505,1,4,2,3,4,1,2,1,6,2,1,1,1,2,2,5,1,1,2,3,1,0,0,4
ENTP,NT,entp'nin kavgaya giderken dinlediği şarkılar,6vi4oPvHZD80DxLkLlY1eQ,50,0.64412,0.123194659,0.72088,0.164626558,-5.82896,2.936687478,0.56,0.501426536,0.105296,0.092301279,0.102192714,0.148594357,0.194898,0.126840942,0.594552,0.232628149,126.24902,28.2142891,0.044366764,0.152555772,0,3,4,4,2,1,2,3,4,3,3,0,5,3,4,4,0,0,0,2,2,1,0,0
ENTP,NT,Entpannt,5YQ1gmI6HTvUb0cMR1Dbkv,50,0.71228,0.13943531,0.63806,0.174310702,-7.22976,2.616171572,0.52,0.50467205,0.116874,0.113282913,0.22368936,0.243992858,0.175096,0.140213377,0.58648,0.23781619,120.68562,26.35576778,0.030678163,0.136409986,2,4,1,4,2,0,5,0,2,0,2,1,8,3,1,3,1,1,0,4,3,3,0,0
ENTP,NT,Entpannt Rap💯,0lJSQnfJYEbe4udVJmVQwl,50,0.73964,0.100583757,0.5384,0.138626351,-9.17312,2.950127895,0.42,0.498569382,0.192728,0.146841429,0.3136068,0.2428142,0.118212,0.035024456,0.43074,0.189379309,123.7461,28.98760042,0.027986811,0.13027165,1,1,1,5,4,1,3,1,4,2,1,5,2,4,1,1,1,6,2,2,0,1,0,1
ENTP,NT,Infj x entp,5IT0CDzG5eTlBruFQDsxF9,26,0.633846154,0.118921047,0.680730769,0.226347619,-6.493307692,3.35148115,0.576923077,0.503831474,0.050919231,0.030255195,0.189702154,0.283128273,0.161096154,0.090646291,0.599769231,0.185507586,117.6678077,22.16213448,0.009351473,0.021369519,2,1,2,2,1,0,1,0,0,2,0,1,5,1,2,1,0,1,2,2,0,0,0,0
ENTP,NT,Entp,1Pb6p2SIKOmXc8vTFMEvXP,33,0.62430303,0.150808754,0.7,0.184238636,-6.630090909,2.559642643,0.545454545,0.505649897,0.128315152,0.121127216,0.19436803,0.275301629,0.242172727,0.172603205,0.58869697,0.217478804,125.7440606,36.1686273,0.01492694,0.063516428,0,3,2,1,1,1,3,1,3,2,1,0,4,1,1,1,0,0,2,2,2,0,1,1
ENTP,NT,ENTP,3kuWZsNFNjPJLH8DNlfRmF,50,0.61882,0.122435771,0.6993,0.166007284,-6.3545,2.339660853,0.54,0.503457434,0.074846,0.074103772,0.160483432,0.180309967,0.169892,0.150071528,0.54436,0.226336282,123.99064,29.96096588,0.048334515,0.147166851,1,3,2,0,4,2,1,2,5,3,2,0,1,1,3,4,3,3,1,1,1,4,0,3
ENTP,NT,entp🤸,4pti2GqYRrWIgzJIK23d1E,50,0.63866,0.142567365,0.76436,0.145509627,-5.20638,2.258228427,0.5,0.505076272,0.112876,0.099721135,0.08545308,0.132321145,0.205084,0.164192506,0.59532,0.201269384,125.09546,26.50825594,0.037136789,0.14326013,1,2,2,6,2,2,7,1,4,4,0,0,4,2,1,4,0,2,2,0,1,0,2,1
ENTP,NT,ENTP,3cPs0UryreSjZkHHYVYk3a,31,0.700387097,0.14632149,0.674032258,0.154342797,-6.545193548,2.461182269,0.516129032,0.508000508,0.111358065,0.082955899,0.141294516,0.180662762,0.243177419,0.165875881,0.518580645,0.199908942,123.6079355,28.90844367,0.113848878,0.278090983,0,2,3,3,2,0,1,0,2,1,0,1,3,0,1,1,0,3,0,4,2,2,0,0
ENTP,NT,entp🧎‍♂️,3fPaNiFiLv2BTBNI0oNopY,33,0.678818182,0.174394211,0.651424242,0.190687085,-6.984393939,3.594480699,0.575757576,0.501890366,0.115990909,0.099102366,0.147639333,0.214913461,0.196715152,0.160048782,0.524121212,0.189464007,122.3139091,29.91296301,0.055621248,0.114826453,2,1,1,3,2,0,0,1,2,2,0,2,4,0,3,1,2,4,0,2,1,0,0,0
ENTP,NT,ENTP VIBE,0NeXrQjJuxDkPvQXWsv7E4,50,0.65274,0.129285605,0.67998,0.191350143,-6.2441,2.754776025,0.42,0.498569382,0.092618,0.082049576,0.15393298,0.216043128,0.237164,0.165715239,0.491332,0.234011306,119.46112,27.41468019,0.036629791,0.121275269,3,6,1,3,0,1,3,2,3,0,3,2,3,1,0,1,3,2,1,8,1,1,1,1
ENTP,NT,ENTP(;,2L04MiQPv4mrxxAdCHMcZE,38,0.593342105,0.162426079,0.671394737,0.16159819,-8.027289474,2.540709604,0.447368421,0.503896623,0.113492105,0.131467512,0.188540158,0.228806362,0.172847368,0.133194969,0.480368421,0.218966968,121.3896842,28.94076865,0.165045815,0.325350045,2,1,1,5,1,0,0,1,4,0,1,2,3,2,2,5,2,2,1,2,0,1,0,0
ENTP,NT,Entp,6bPvPACNcdv8ybNj5PMEJz,50,0.62306,0.133994427,0.6858,0.180126486,-6.25984,2.522668011,0.48,0.50467205,0.118472,0.118973209,0.175782068,0.213234412,0.179162,0.129446208,0.52276,0.20442688,120.1544,34.56561806,0.026308392,0.098468698,1,2,2,3,3,1,5,2,3,1,0,3,4,2,0,5,5,2,0,2,0,3,0,1
ENTP,NT,ENTP,3X5VcoBHEKSO5uQbS28x95,50,0.57588,0.138988715,0.5829,0.181088461,-7.14018,2.24152111,0.6,0.494871659,0.059578,0.052232593,0.284071908,0.265990537,0.156004,0.094278179,0.452782,0.194532587,115.6458,32.06907478,0.041045987,0.154677144,3,6,2,0,3,2,1,1,1,2,1,1,1,0,2,6,3,2,4,1,3,3,1,1
ENTP,NT,Feiern entphase🥃🥃🥃😍,4C68b3kE0ujvmXjqjM5Efc,50,0.6971,0.132880989,0.78976,0.161403482,-5.9969,2.551157066,0.58,0.498569382,0.101844,0.085378328,0.17348292,0.227253195,0.242454,0.209313028,0.66134,0.223930438,126.30158,25.84968872,0.065127752,0.191118132,7,4,2,1,4,1,1,3,2,0,1,2,5,1,2,1,3,0,1,3,1,4,0,1
ENTP,NT,ENTP,6WRsdo8A2OTM3jXS8RhX3Q,50,0.55304,0.151419806,0.75048,0.166021297,-5.65108,2.009718011,0.48,0.50467205,0.086378,0.089857221,0.11390992,0.164945752,0.217518,0.148548723,0.514734,0.23834433,131.11672,32.57133141,0.018909874,0.073300655,2,2,1,2,3,1,2,5,3,2,3,0,4,1,0,5,3,2,1,5,0,1,1,1
ENTP,NT,ENTP - 9w8 vibes,7ylRH7Hf9ETZQXDtuMrRjz,50,0.55438,0.156445842,0.7678,0.180167382,-5.29588,2.070662131,0.52,0.50467205,0.11169,0.096794666,0.091083958,0.145213209,0.188814,0.123359844,0.488216,0.23030828,127.94274,38.17055373,0.025534536,0.100748062,1,4,0,5,1,1,3,1,0,2,5,2,3,2,1,1,3,0,1,5,2,2,1,4
ENTP,NT,Entp :(,6B4uWSz9CAphWkJhVoPsms,24,0.622375,0.136977565,0.707791667,0.154883681,-6.367666667,2.690547506,0.5,0.510753918,0.0798875,0.096837939,0.106980983,0.158687253,0.210541667,0.128908818,0.576833333,0.232525953,113.2924583,24.32941996,0.066326508,0.185164761,0,0,0,2,2,1,4,1,3,3,0,0,2,0,0,1,0,0,0,2,1,0,0,2
ENTP,NT,Entp,3Swa0PosZnB7Ra5yNeCgf9,26,0.619615385,0.182338822,0.586576923,0.153324799,-8.644653846,2.369438211,0.538461538,0.508391127,0.067423077,0.056722541,0.45434,0.275852946,0.163465385,0.099400165,0.568346154,0.200183304,122.0769615,29.6368591,0.048176855,0.165806981,1,5,1,0,2,2,0,0,1,2,0,2,1,2,0,2,1,0,0,2,1,0,0,1
