mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,DMajor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/Gbminor_count,F#/GbMajor_count,GMajor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/Bbminor_count,A#/BbMajor_count,Bminor_count,BMajor_count,Dminor_count,D#_Ebminor_count,D#_EbMajor_count,Gminor_count,G#/Abminor_count
INTP,NT,INTP music taste i guess ( by an INTP-T),0HFpgzWoMgTC0vg9BsdgMB,50,0.56544,0.128013258,0.6419,0.180917193,-6.77558,2.562739113,0.58,0.498569382,0.066552,0.079816267,0.25281802,0.262064263,0.170986,0.110475789,0.52082,0.196905415,128.74728,29.6331118,0.070912805,0.199787412,2,8,0,2,3,3,3,1,4,3,0,1,2,5,2,3,2,1,1,0,0,1,0,3
INTP,NT,INTP vibes,0ZRMpq1J4wBaGXg5lefLSy,50,0.54356,0.145805736,0.66804,0.159227851,-6.30412,2.311390258,0.72,0.453557368,0.046454,0.027692718,0.174080832,0.205363878,0.158212,0.089905355,0.47262,0.194083181,129.84026,32.26786801,0.10315509,0.236999097,0,7,0,4,3,2,0,1,3,2,3,1,4,3,3,1,4,2,1,0,0,3,1,2
INTP,NT,INTP Chaos,1so09OI5xQ3clXJTl0Xydp,50,0.61186,0.160503164,0.66006,0.204560096,-6.91378,3.248417029,0.7,0.46291005,0.091654,0.114251334,0.20935167,0.271067623,0.16644,0.119989464,0.487786,0.237668196,128.35384,28.40472015,0.045545964,0.157685533,2,3,2,3,4,2,2,3,6,0,1,4,3,0,2,1,2,2,2,0,1,3,2,0
INTP,NT,INTP,2pzsKjtsfD1EeEsKz4ujTP,50,0.63672,0.144330833,0.600742,0.214906277,-7.51872,3.042573086,0.58,0.498569382,0.102666,0.097705423,0.2751146,0.280725678,0.171336,0.111566936,0.505132,0.239985917,125.76956,26.34443747,0.080937826,0.219434882,1,4,4,4,3,3,1,2,1,2,2,4,2,0,3,2,4,4,1,0,1,0,1,1
INTP,NT,INTP-T,28Gs8ghiKW5a232jwsj14A,50,0.55462,0.155310471,0.494248,0.202491415,-9.7724,3.929201212,0.62,0.490314351,0.07362,0.104129588,0.42378088,0.288097862,0.18316,0.142354967,0.496178,0.264656024,119.51144,30.3039404,0.098234711,0.233171826,3,4,1,3,1,3,2,2,5,0,1,5,1,2,2,0,3,4,2,2,2,2,0,0
INTP,NT,"intp, the deeply misunderstood.",16bswOIWhA24PLeijMdlqy,50,0.54974,0.124075818,0.5271,0.165218254,-8.40528,2.869017353,0.72,0.453557368,0.058598,0.060417843,0.32731894,0.284813695,0.180404,0.120613894,0.412726,0.22076617,120.3802,28.64241184,0.081827545,0.194430992,1,9,0,2,3,2,3,3,3,1,3,1,1,3,5,1,3,0,3,1,0,0,0,2
INTP,NT,INTP 5w4 music,4tMSHlIrcPLFqtBLrPL7rA,46,0.511173913,0.189304376,0.613021739,0.218052235,-9.726543478,4.511103165,0.565217391,0.501206274,0.056517391,0.047512797,0.209110032,0.303096476,0.160336957,0.120689586,0.40506087,0.239075616,128.429913,30.41893647,0.170043457,0.278187822,3,5,1,1,3,3,1,1,3,2,4,4,1,3,4,0,0,2,0,3,0,0,1,1
INTP,NT,intp x entp playlist bc i want,6TNWxC7RKabVSsFsRllb4S,50,0.55352,0.14682535,0.579632,0.213158293,-8.59648,5.973949503,0.44,0.501426536,0.049122,0.027825039,0.21790196,0.309309136,0.1971,0.122640195,0.382772,0.218652634,123.82376,33.91625891,0.175086015,0.303184653,2,2,1,4,2,4,3,1,0,5,1,1,2,4,2,3,2,2,1,1,0,2,5,0
INTP,NT,intp5w4.exe,55QsLMV33TDaLjXLLxC9ol,50,0.61144,0.123988176,0.639,0.178573371,-7.22278,2.29216149,0.4,0.494871659,0.082208,0.075937788,0.208518,0.243156373,0.170534,0.10280876,0.38273,0.193701831,128.4796,32.75674291,0.051431418,0.134366207,2,0,1,3,3,4,0,2,1,1,1,6,2,1,1,4,2,6,1,4,0,0,2,3
INTP,NT,Intp playlist,24UlkFhfF7P9VjaYvoBtml,39,0.553179487,0.156785283,0.579120513,0.214272436,-8.379282051,4.841940085,0.692307692,0.4675719,0.048664103,0.037063179,0.286372872,0.310390494,0.175992308,0.101174316,0.454287179,0.237287624,129.1805385,32.85034215,0.162192554,0.289575526,1,6,0,0,1,3,4,1,3,2,0,3,3,0,5,1,1,2,1,0,0,0,0,2
INTP,NT,INTP 5w4 true neutral,7LCVMRrxAXqiNtnjU5dxzz,50,0.55836,0.117047306,0.59294,0.192256356,-7.42834,3.383743547,0.78,0.418451958,0.06222,0.059173363,0.276498096,0.282765865,0.168516,0.103165825,0.415734,0.212529871,118.15786,29.19970655,0.097592741,0.249413734,0,10,0,4,3,3,3,2,5,1,1,3,2,2,4,1,0,1,2,0,0,2,1,0
INTP,NT,Mad Scientist (intp playlist),1EDBt7jbEtsTrNVmFpX9iJ,50,0.62492,0.109573541,0.72544,0.169924973,-6.62944,2.952264583,0.58,0.498569382,0.110836,0.098003102,0.19206477,0.228743569,0.166316,0.114003368,0.52664,0.24921534,125.73034,25.47382378,0.225544952,0.353115716,0,1,2,6,4,1,1,1,3,3,1,4,1,4,3,2,1,3,1,1,0,3,1,3
INTP,NT,INTP's mind,1bYaIxcp8p6TwrZ1613PYv,19,0.567736842,0.126057237,0.410473684,0.180806947,-9.527789474,4.004243812,0.736842105,0.452413928,0.078252632,0.094914589,0.473989474,0.302432852,0.190310526,0.188662052,0.360747368,0.186427321,114.1445263,29.47948071,0.049793549,0.216784201,1,0,1,0,4,0,1,0,0,1,0,3,0,0,0,1,1,0,2,1,0,3,0,0
INTP,NT,INTP (PDB),2S0MGQFgAQSPt6HZHkijVJ,50,0.59308,0.158097469,0.66298,0.197825886,-6.6145,3.194185938,0.58,0.498569382,0.079112,0.088141979,0.162249408,0.235809873,0.157528,0.109181633,0.44851,0.249359842,123.3962,29.85924233,0.075936695,0.207203466,2,6,2,4,1,0,1,1,2,1,5,2,3,4,3,1,1,2,0,2,0,1,2,4
INTP,NT,intp ,6riKRzKin8NiG8FY7o3aEv,50,0.55778,0.121099772,0.61694,0.182421402,-7.81038,2.455901637,0.6,0.494871659,0.070724,0.069980034,0.225451006,0.256033245,0.165586,0.10508371,0.402238,0.214803972,121.43504,27.81969107,0.174735496,0.324200382,2,3,4,5,2,2,3,1,0,1,1,1,7,5,1,1,3,0,3,1,0,1,2,1
INTP,NT,INTP songs,55tWFSrWv5N132X6zHIO5v,50,0.54526,0.160887311,0.59162,0.214613073,-8.61502,3.796218583,0.64,0.484873221,0.064022,0.062862446,0.264237478,0.296903265,0.166824,0.1167754,0.423684,0.250881708,122.46896,32.18907947,0.134867998,0.277022526,2,4,0,2,2,1,2,2,4,4,5,1,2,3,7,1,0,1,1,1,0,2,0,3
INTP,NT,Intp,5fGuJCj7U1RtlzlwjDKWvh,50,0.55146,0.135979922,0.62162,0.218312254,-8.41612,3.331228239,0.7,0.46291005,0.064246,0.056676642,0.213822088,0.292798615,0.182464,0.126762229,0.45553,0.24307812,121.44606,32.6476545,0.155279693,0.286856278,1,4,0,2,3,3,3,2,2,1,4,2,2,3,8,0,3,2,1,0,0,1,1,2
INTP,NT,Intp,0vVN23MoWZAAh0bqynJoLa,50,0.61838,0.147105805,0.58592,0.170100911,-7.25384,2.603423416,0.46,0.503457434,0.082138,0.070135105,0.2257512,0.209030462,0.203558,0.178651268,0.374346,0.212815658,130.11102,28.39444821,0.031778076,0.101140584,3,2,4,5,3,3,1,3,1,3,1,3,2,4,2,1,3,1,0,1,0,0,2,2
INTP,NT,ISTP songs ://,0nESJh03HtCUwKB0Km5pHR,50,0.64622,0.165729838,0.66584,0.177221337,-6.38334,2.320650398,0.5,0.505076272,0.106846,0.092113478,0.1673433,0.198336902,0.192318,0.131158474,0.48668,0.194869652,121.80674,28.44900392,0.052391766,0.142019873,2,4,1,2,3,7,1,3,2,2,2,4,3,0,2,1,0,5,2,1,1,0,1,1
INTP,NT,INTP,21F6wTD7L5oUrZIOR0U3pO,50,0.61842,0.138067876,0.54552,0.164195533,-7.76346,3.129217136,0.56,0.501426536,0.100168,0.099616717,0.24191282,0.278553544,0.13772,0.075321003,0.33868,0.193505964,125.32738,27.66770107,0.01781036,0.0491371,2,8,2,3,1,5,2,6,1,0,1,4,4,0,1,1,3,2,0,0,1,0,1,2
INTP,NT,Lofi for INTPs 🤖,1h9faJ70ZZ4Rll97XL9xTn,43,0.656023256,0.103923389,0.268861395,0.140823038,-14.54118605,6.003010226,0.604651163,0.494711791,0.079662791,0.088447351,0.741597674,0.235045402,0.155116279,0.137231549,0.28067907,0.169352017,105.2342326,33.43318174,0.814604651,0.189063625,0,3,1,1,2,2,0,1,2,1,2,5,3,1,3,1,3,4,2,2,1,0,1,2
INTP,NT,intp 🧬,21XGC1Lh1OeIHevh6cw6pP,50,0.57452,0.167823916,0.602446,0.244141919,-8.90042,4.935368051,0.56,0.501426536,0.082122,0.082758102,0.27989806,0.351334448,0.194062,0.142394185,0.429422,0.25647888,123.1701,30.32204452,0.256425477,0.358970888,2,1,1,3,5,4,1,1,2,1,3,4,3,4,2,2,1,3,2,0,1,1,1,2
INTP,NT,INTP 7w8,3j0CIgZG8BlgBJPKEBDLmB,50,0.5169,0.126339557,0.69428,0.18032805,-7.21862,2.554225622,0.58,0.498569382,0.049652,0.043261428,0.183755951,0.266649788,0.18416,0.136761234,0.3995,0.217756983,129.35096,22.5555424,0.1473212,0.266353237,4,3,1,2,4,1,2,1,5,0,2,3,2,7,1,0,2,3,1,1,0,2,1,2
INTP,NT,an intp's home,2T5xtBZN7LOrDMTN4nt6Cs,50,0.60936,0.117073282,0.422474,0.186959835,-9.88388,4.480764424,0.64,0.484873221,0.046732,0.024988973,0.5557936,0.28967592,0.145024,0.089336506,0.376784,0.208553537,111.458,26.10465073,0.064003787,0.190605022,1,6,0,4,4,1,4,1,1,2,1,4,2,2,1,2,1,2,1,2,1,3,4,0
INTP,NT,-Intp Vibes-,2UtE1uqYUQ0HP7PfCGpJmx,50,0.5471,0.152938196,0.60952,0.243275944,-8.52914,4.722598822,0.64,0.484873221,0.068198,0.064664672,0.298839648,0.35397594,0.192606,0.151613036,0.452768,0.241244557,121.1632,35.2371402,0.214570744,0.319493203,3,1,1,2,4,2,2,2,2,2,7,0,4,2,6,1,1,1,1,0,0,2,2,2
INTP,NT,INTP,6eOZGG0OJgudvSHtI1R1BM,34,0.553705882,0.163474311,0.559961765,0.18473198,-8.263823529,3.838042845,0.705882353,0.46249729,0.086385294,0.130584597,0.310717676,0.29034821,0.175685294,0.099979289,0.412438235,0.196771817,129.5287647,30.19192552,0.039959027,0.11211186,0,3,3,1,1,1,1,0,5,2,0,3,3,1,3,2,2,1,1,0,0,1,0,0
INTP,NT,Intp (: 🦔,6mmRWYBIeP9i4t4PZXmeR8,50,0.56718,0.10819987,0.57228,0.221148675,-8.13848,4.282338662,0.68,0.471212071,0.062838,0.054923003,0.321538,0.310430296,0.171618,0.104106799,0.45655,0.231632047,121.21794,24.99724804,0.049030132,0.156936411,3,7,1,5,5,4,3,2,4,1,2,3,2,0,1,3,0,0,1,0,1,1,0,1
INTP,NT,INTPness,4Biv9oIKs5hgWatuP39iwl,50,0.5241,0.154942419,0.71156,0.183625413,-6.56562,3.432447963,0.68,0.471212071,0.090568,0.085307691,0.172712178,0.237526183,0.204384,0.162633742,0.464792,0.224985652,123.32824,30.42076253,0.01049516,0.040847164,3,1,1,6,5,0,1,1,2,2,5,1,0,2,6,0,1,2,3,1,2,3,1,1
INTP,NT,INTP,3FzKo0x62TX2WSOK4MKScM,50,0.59416,0.126074704,0.73644,0.151941337,-6.58882,2.285117348,0.7,0.46291005,0.065868,0.059084369,0.241009678,0.277992278,0.177086,0.129127431,0.601638,0.236558939,125.16338,35.79948327,0.281700871,0.386192024,1,3,3,3,2,2,0,1,4,1,6,3,1,3,4,0,4,2,3,0,0,2,1,1
INTP,NT,intp 5w4,5QaFjgYsGHfIbcefcTp90c,50,0.589,0.15914414,0.59258,0.220948151,-8.52248,3.821902087,0.76,0.431419111,0.079596,0.097208396,0.410732288,0.35078517,0.216202,0.159450765,0.530316,0.252642546,115.72464,28.80578799,0.118809048,0.260938268,1,5,0,3,4,1,4,2,2,1,4,5,3,3,3,1,2,2,2,0,0,1,0,1
INTP,NT,Xoxo - INTP,05LwueVtwL8jE9T84Yf3Zg,50,0.6858,0.142388087,0.80162,0.140844521,-4.03946,2.224056619,0.58,0.498569382,0.108422,0.079553066,0.11426772,0.191827612,0.177744,0.139940957,0.60562,0.177268837,125.0565,28.2444819,0.01302703,0.091055477,2,3,3,5,4,1,3,2,2,1,2,2,3,2,5,2,0,2,0,2,3,0,1,0
INTP,NT,intp stuff,4KY8HSJtPxAo8UxzVp5uOw,50,0.63016,0.132225127,0.58444,0.184396773,-7.43498,2.73256551,0.74,0.443087498,0.069496,0.059151383,0.3507206,0.283368054,0.141876,0.113180163,0.560074,0.239878482,120.72956,33.18802278,0.038792094,0.146367946,0,8,1,2,3,2,2,1,2,2,3,7,2,0,7,1,0,1,1,1,0,0,2,2
INTP,NT,INTP ME,2Mt2qwmpx4lLdToGxUghiX,50,0.5643,0.145410783,0.53142,0.190849881,-7.8767,2.912831018,0.58,0.498569382,0.08001,0.083315739,0.390126,0.304686677,0.168994,0.108663742,0.384198,0.193742194,128.84694,32.87056176,0.041925814,0.134902536,2,5,1,0,2,5,2,1,6,3,2,6,1,4,2,1,1,1,1,0,0,1,1,2
INTP,NT, INTP,3rFGh7XU6uDXPcZ9a1iCkF,34,0.569205882,0.139987181,0.662794118,0.197897858,-7.374882353,3.586368948,0.617647059,0.493270218,0.065229412,0.067348436,0.247724294,0.297251876,0.180132353,0.130407257,0.496382353,0.240848502,113.8356765,32.74145021,0.193081069,0.335016198,2,1,0,2,2,3,3,1,1,1,4,1,2,1,2,1,0,0,0,0,0,3,2,2
INTP,NT,INTP,0esXEzKtOieiQO9MV6TTfZ,50,0.61572,0.116016544,0.7298,0.162759996,-6.48628,2.74803746,0.54,0.503457434,0.106002,0.085727288,0.19291026,0.236926787,0.164634,0.113355818,0.50722,0.251269636,129.04282,25.92352404,0.252019725,0.360890315,0,1,3,5,4,1,1,0,3,3,1,3,1,6,3,2,1,3,1,0,0,3,1,4
INTP,NT,isfp x intp,72vk0HNNwnOF6vY2eml6NR,50,0.55542,0.15407447,0.585876,0.210210491,-7.91286,3.175985761,0.64,0.484873221,0.056534,0.041233989,0.24896872,0.310732787,0.174498,0.12841888,0.406514,0.244314414,129.08308,26.86589182,0.122350829,0.26198877,3,1,0,1,5,2,4,3,3,1,3,4,2,0,5,3,2,4,2,0,1,0,0,1
INTP,NT,INTP,1tXuPjAbvIATk1E7uMJdDA,50,0.5351,0.130986874,0.66816,0.138665117,-7.2735,2.867640574,0.4,0.494871659,0.075468,0.064101977,0.145127942,0.185608489,0.210842,0.147111514,0.376882,0.197124291,119.96216,28.3057637,0.180416396,0.327351309,2,3,1,1,1,4,0,3,0,3,4,0,2,3,3,3,3,5,2,2,0,1,3,1
INTP,NT,INTP ,0sO2ZNI8WVo4WzLokmTF6L,48,0.5756875,0.132715847,0.583979167,0.166013264,-7.521541667,2.876666296,0.729166667,0.44909286,0.053358333,0.036307299,0.280641042,0.2562017,0.151822917,0.092001552,0.419091667,0.226535183,118.3880417,28.57741881,0.097900386,0.243260366,0,7,0,5,4,4,3,0,3,1,3,1,2,1,2,0,3,2,1,1,0,1,2,2
INTP,NT,intp. ,1lZgMEYo3dewfuAffTnIe9,50,0.62532,0.152258968,0.58678,0.195239182,-7.46192,3.216349762,0.52,0.50467205,0.103012,0.092345747,0.2725939,0.27427864,0.183316,0.147065102,0.453916,0.224099744,121.78876,30.95644374,0.026750603,0.119930837,1,1,4,3,4,4,2,1,1,2,3,3,5,4,2,2,1,3,1,0,0,0,1,2
INTP,NT,INTP 5w4,0UvlxQx9oLrxKHDXlHLE2h,25,0.43296,0.183452646,0.42228,0.197150645,-11.98872,3.998737535,0.76,0.435889894,0.086796,0.170694482,0.587724,0.325613247,0.171496,0.110213654,0.323184,0.260285477,121.41924,32.15155984,0.42253762,0.409587051,0,6,0,1,2,1,0,0,2,1,0,2,1,1,1,0,1,1,1,1,0,2,1,0
INTP,NT,I'm INTP,6abNZMsIg2qCsOyp6Hfmbx,45,0.537844444,0.144008358,0.5814,0.214828092,-8.171911111,3.339504133,0.422222222,0.499494694,0.079942222,0.079759167,0.264841364,0.305636307,0.179746667,0.124624769,0.353526667,0.204086966,117.5861778,28.76101061,0.151744687,0.29213334,4,0,1,1,4,7,0,3,3,0,1,4,2,1,1,1,2,5,0,0,0,1,3,1
INTP,NT,Intp,5ORL0prhBYdHXCkcRqBark,43,0.53955814,0.12987362,0.66427907,0.188491041,-6.728093023,2.522135677,0.651162791,0.482242822,0.039669767,0.019555581,0.216306593,0.288285291,0.2005,0.116091452,0.448267442,0.20353268,123.9225581,24.48658699,0.101872476,0.246067495,2,1,2,0,1,2,4,0,0,0,1,4,3,1,5,1,5,4,2,0,0,2,1,2
INTP,NT,INTP,1IuAs1BCui91sdCOZwmWQh,18,0.523666667,0.155724115,0.612111111,0.248707456,-9.107333333,5.556851754,0.722222222,0.460888599,0.115305556,0.127986068,0.321934356,0.35576779,0.211866667,0.160352835,0.417111111,0.190407887,117.7723333,33.64734298,0.205519124,0.360738396,0,3,1,0,0,0,1,1,2,2,2,0,0,1,4,0,0,0,0,0,0,1,0,0
INTP,NT,INTP PLAYLIST (by an intp),6O3h3eKntAIDh75YC1774Y,50,0.652021277,0.082871427,0.853382979,0.103136371,-5.780851064,2.269338478,0.531914894,0.504374939,0.136361702,0.08859624,0.035934617,0.056539707,0.21986383,0.178343428,0.677659574,0.137666307,134.2877021,26.05339456,0.02420914,0.07428504,1,3,2,9,1,0,0,3,1,2,2,2,2,1,1,5,0,5,4,0,1,0,0,2
INTP,NT,INTP PLAYLIST (by an intp),6O3h3eKntAIDh75YC1774Y,50,0.652021277,0.082871427,0.853382979,0.103136371,-5.780851064,2.269338478,0.531914894,0.504374939,0.136361702,0.08859624,0.035934617,0.056539707,0.21986383,0.178343428,0.677659574,0.137666307,134.2877021,26.05339456,0.02420914,0.07428504,1,3,2,9,1,0,0,3,1,2,2,2,2,1,1,5,0,5,4,0,1,0,0,2
INTP,NT,INTP,74YasQCA4fp8Z0JAOTJvIF,50,0.51308,0.117691024,0.63764,0.197002513,-8.261,3.342726982,0.66,0.478518121,0.046084,0.031629083,0.253546172,0.298904001,0.17765,0.145543853,0.413764,0.216025039,124.01572,31.31766057,0.239691732,0.340902675,2,6,1,3,2,1,2,1,4,4,3,2,4,2,4,2,2,1,1,1,0,0,0,2
INTP,NT,INTP 5w6,5BhgZqQL7ShjsHVCH6gk00,43,0.567651163,0.170649862,0.705302326,0.149470261,-5.784790698,2.569087484,0.465116279,0.504684588,0.100274419,0.100025668,0.118886186,0.152628429,0.200351163,0.135313594,0.504395349,0.2174136,124.3661395,33.15514737,0.028043565,0.100096443,1,3,0,2,4,4,1,5,1,1,1,1,4,6,1,1,1,2,0,1,0,1,0,2
INTP,NT,INTP ,3l9nnY4QsMRiwUz8pFKzCh,26,0.546576923,0.136831918,0.619615385,0.171715597,-7.724576923,3.019569535,0.730769231,0.452344321,0.070011538,0.085858904,0.141776669,0.215043736,0.159930769,0.127369537,0.403769231,0.198596537,109.7811154,30.14670609,0.165379048,0.290433353,1,3,0,2,1,2,2,1,4,1,2,1,0,1,1,0,2,0,0,0,0,1,0,1
INTP,NT,INTP haul,4obOSGlGOV40cLJiBlFySu,50,0.50344,0.150133296,0.78124,0.196080217,-5.5638,3.194766926,0.48,0.50467205,0.09748,0.075840609,0.10610725,0.195200769,0.192672,0.150121121,0.364728,0.204304633,135.86714,30.39075851,0.064996404,0.187464448,5,7,5,2,1,4,0,2,0,2,2,7,0,2,3,3,1,2,1,0,0,0,1,0
INTP,NT,INTP playlist,1dwf8SY2jj5Tmfh6GogtMg,50,0.57454,0.147177695,0.66088,0.19123099,-8.09606,3.324044963,0.54,0.503457434,0.061464,0.058966832,0.233927388,0.284387905,0.181612,0.161976578,0.452574,0.240505499,123.43274,35.05080863,0.174806596,0.309065713,1,0,2,2,1,2,1,6,1,1,3,3,3,4,8,0,0,3,3,1,0,2,1,2
INTP,NT,intp vibes???,4ZUIVHYSUhyyWUljYQR7IB,50,0.6103,0.105446814,0.63022,0.191055424,-6.65016,2.607689237,0.82,0.388087934,0.066512,0.052724841,0.30123184,0.267338545,0.166456,0.155770941,0.509656,0.234766215,119.71412,29.94500948,0.000472485,0.002480533,1,10,2,1,5,1,4,1,2,1,0,7,0,0,5,1,2,1,4,0,1,1,0,0
INTP,NT,Intp,1rzsCtq5i9gpuEEutp3mqG,50,0.5813,0.16345857,0.638296,0.224518126,-8.08248,5.265881445,0.58,0.498569382,0.07002,0.076851999,0.264498432,0.283287278,0.205234,0.152166427,0.495308,0.243584036,121.56898,29.69071802,0.211045129,0.33815228,2,4,2,1,0,4,1,2,4,1,5,4,1,1,4,2,4,2,0,0,0,1,1,4
INTP,NT,INTP,1CrnTJsIgFMK4Jzb0pwwEp,50,0.58652,0.174865691,0.72694,0.217044377,-6.60782,3.463072546,0.5,0.505076272,0.10982,0.114917278,0.20360332,0.25792884,0.207764,0.155747066,0.405328,0.2597071,112.01986,22.35055595,0.302118992,0.366818882,1,1,0,6,5,4,0,2,0,1,1,3,3,4,2,2,1,5,2,1,0,1,1,4
INTP,NT,INTP go brrrrr,50iM7nmH12N2RSgw1Ei1sk,50,0.55748,0.117645653,0.600868,0.22378653,-8.63366,3.944588934,0.66,0.478518121,0.064678,0.065859815,0.2649886,0.271309732,0.18589,0.133499436,0.402966,0.20809579,128.0014,31.81940478,0.188209191,0.33514516,2,5,1,3,5,0,2,4,0,1,2,2,3,2,6,1,0,2,3,0,0,2,2,2
INTP,NT,Pov: 🍁☕INTP☕🍁,5VCK3a0XwevnnqSOBTtv40,50,0.56868,0.113160432,0.65714,0.166298602,-6.48,2.424869229,0.68,0.471212071,0.05412,0.065320194,0.159486788,0.194743373,0.200508,0.137753609,0.432484,0.240582588,120.5295,27.26487952,0.123160122,0.251546656,3,4,1,2,1,1,2,1,5,1,5,3,2,4,5,1,3,4,0,0,0,2,0,0
