mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,DMajor_count,D#_EbMajor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/Gbminor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/Bbminor_count,BMajor_count,Dminor_count,D#_Ebminor_count,Gminor_count,A#/BbMajor_count,F#/GbMajor_count,Bminor_count
INFP,NF,Infp ☁️,7haMzDleVTr4uAltOPveEJ,44,0.557840909,0.155010569,0.553325,0.225177989,-8.352590909,3.273317308,0.659090909,0.479494977,0.067340909,0.06108258,0.293469091,0.286088047,0.163402273,0.086265896,0.448884091,0.221763504,120.9547955,32.16577793,0.019970993,0.081804587,1,5,3,5,4,3,5,1,1,2,1,2,1,1,2,2,1,4,0,0,0,0,0,0
INFP,NF,Infp but it's actual infp songs,72PVFthY1iGZy9a2MDJfKf,33,0.587636364,0.135644254,0.556272727,0.191641963,-8.21569697,3.356867471,0.636363636,0.48850421,0.074272727,0.083388227,0.341433939,0.267076757,0.154542424,0.112495672,0.44760303,0.216068682,131.8712424,33.21600809,0.061040864,0.177558727,1,5,0,1,1,0,4,0,1,2,0,3,1,2,1,2,1,4,1,1,1,1,0,0
INFP,NF,This Is Infekt,37i9dQZF1DZ06evO29YZaM,50,0.677,0.128009407,0.85128,0.128336458,-5.0461,2.180554266,0.58,0.498569382,0.272546,0.176012863,0.05808475,0.074817594,0.26452,0.208096629,0.26503,0.170517537,128.20602,26.92719437,0.250357561,0.331804665,0,0,3,13,4,0,2,0,2,1,2,2,1,2,0,1,1,3,1,0,0,1,2,9
INFP,NF,infp // the mediator,5TW1TKTM7Q99Z3p4NvtReA,42,0.517,0.169477389,0.513411905,0.258344916,-10.17283333,4.935139798,0.785714286,0.415299732,0.051509524,0.033910901,0.442163036,0.367024572,0.152645238,0.095955862,0.337845238,0.211890005,120.5935714,34.33522446,0.210927153,0.294346213,2,6,0,2,3,0,1,5,1,3,2,1,0,3,2,5,0,2,0,1,0,3,0,0
INFP,NF,pov ; you’re an infp,4Ap1GBkipIaX3dHPiMk96v,50,0.5604,0.141450071,0.445862,0.24259167,-10.57224,5.685179015,0.82,0.388087934,0.065178,0.058684317,0.4796774,0.36140648,0.169092,0.12663451,0.351366,0.195116122,114.69308,30.03414246,0.069537275,0.206277029,2,12,0,4,2,2,2,0,0,2,0,4,1,1,1,7,2,1,0,0,0,5,1,1
INFP,NF,This Is Inflabluntahz,37i9dQZF1DZ06evO3Alsys,31,0.613935484,0.098179406,0.728387097,0.128033766,-6.986580645,1.639672117,0.548387097,0.505879411,0.289770968,0.122652428,0.188354839,0.186405938,0.220409677,0.185856748,0.508290323,0.163467264,96.37293548,22.35451101,0.028863916,0.160562489,1,1,0,6,3,0,1,0,1,0,1,3,0,1,0,1,3,1,1,2,0,0,1,4
INFP,NF,Infp songs <3,0VWRita9yORbhfBc80CNfz,50,0.5208,0.164157465,0.618752,0.218963975,-7.24238,4.592926571,0.64,0.484873221,0.065084,0.053946804,0.263626766,0.300976405,0.15108,0.100298959,0.402024,0.20274605,131.27542,31.14320906,0.045329397,0.164013337,1,5,1,3,5,0,6,2,2,2,0,2,0,4,1,2,1,4,3,0,1,1,2,2
INFP,NF,This Is Inf,37i9dQZF1DZ06evO3SeHZd,50,0.6654,0.104156084,0.41108,0.152028306,-10.79756,2.925748871,0.26,0.443087498,0.088266,0.084354027,0.237461314,0.253112287,0.189096,0.162794744,0.43454,0.194995469,99.42746,28.48007585,0.662444266,0.273933607,5,3,2,1,4,0,3,0,1,1,2,2,3,1,6,0,0,0,6,3,2,0,1,4
INFP,NF,infp (taylor’s version),0RTCqK5rf9c2WEzQSukyTj,50,0.5564,0.128193094,0.49264,0.167891335,-9.1336,2.147281338,0.98,0.141421356,0.049366,0.038551098,0.57667846,0.321723434,0.143194,0.136627367,0.360748,0.174904568,118.52132,29.1434799,0.003888687,0.025287074,1,13,0,1,5,1,0,6,0,5,0,7,0,2,0,4,0,1,0,0,0,3,1,0
INFP,NF,INFP Playlist,53pP94ikwfDP0kD7yywF4O,50,0.495018,0.175262182,0.5745196,0.227030841,-9.6315,4.809709518,0.76,0.431419111,0.044406,0.020269283,0.31672576,0.334734067,0.169324,0.106232616,0.39092,0.228611537,118.31884,26.42422233,0.320721654,0.390177156,0,6,0,7,4,2,2,2,1,2,1,5,0,1,2,3,1,4,1,0,2,0,2,2
