mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,Dminor_count,DMajor_count,D#_Ebminor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/Gbminor_count,F#/GbMajor_count,Gminor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,AMajor_count,A#/Bbminor_count,Bminor_count,BMajor_count,D#_EbMajor_count,Aminor_count,A#/BbMajor_count
ISTP,SP,istp,7ppgwBhf7r0af5ZRMRv2wP,50,0.59214,0.158513633,0.62512,0.175904037,-7.36112,2.57271393,0.5,0.505076272,0.185972,0.155907272,0.2450504,0.213785275,0.232894,0.177170654,0.447206,0.230064016,119.51796,33.92379443,0.022541712,0.12272544,1,1,2,4,1,4,0,4,0,1,3,2,3,0,2,4,2,2,3,3,2,1,4,1
ISTP,SP,ISTP music by an ISTP,4JDg3rlUi82xpg2Npaw7Gi,43,0.639976744,0.140628265,0.666465116,0.176867229,-6.326790698,2.554231117,0.534883721,0.504684588,0.095302326,0.088258984,0.147765372,0.200840368,0.201051163,0.16937125,0.506046512,0.221710231,123.3700698,32.61883011,0.067061045,0.166416901,2,3,1,2,2,4,2,3,0,0,2,0,1,1,5,3,2,2,2,2,1,1,2,0
ISTP,SP,istp8w7,65i4jmBeb14TTkf4mYE7nY,44,0.501727273,0.157606275,0.71025,0.185255214,-5.769,2.453832816,0.659090909,0.479494977,0.059290909,0.068964264,0.106709952,0.200039356,0.178897727,0.155684223,0.430081818,0.228590982,128.7311818,31.46901274,0.01180565,0.049028652,1,4,3,3,0,5,2,3,4,1,1,0,1,1,4,0,1,2,1,2,1,2,1,1
ISTP,SP,👩‍🔧 (ISTP edition)🎶,0HdaNS8TWgNS0aAnApSMyY,50,0.63068,0.158621542,0.65474,0.161593192,-6.3469,2.066778507,0.54,0.503457434,0.093598,0.082672712,0.17253712,0.202446449,0.201624,0.144473769,0.491884,0.207248218,115.95106,26.8280131,0.036840587,0.06954588,1,5,0,1,1,2,2,5,1,2,3,2,1,2,5,1,3,1,1,3,2,2,3,1
ISTP,SP,ISTP,1ZkEaM355gIleR7MaMGD9d,50,0.59434,0.100903998,0.81558,0.106654332,-4.8954,1.747328164,0.42,0.498569382,0.105372,0.080283378,0.077237164,0.107285882,0.261688,0.210095416,0.474794,0.222284753,125.05762,30.93714252,0.039214345,0.161918743,1,0,4,3,1,5,0,9,2,2,1,0,0,0,3,3,2,5,6,1,0,0,2,0
ISTP,SP,istp,2crMjn9zQEPtaWZ4v24KLO,25,0.63376,0.130109979,0.62916,0.193101157,-7.95112,3.299278448,0.48,0.509901951,0.071816,0.050231263,0.18291532,0.199887479,0.207248,0.146753186,0.501924,0.193115344,121.65512,22.87254216,0.266302108,0.390084267,1,1,2,2,0,1,0,1,1,2,1,2,1,0,0,0,1,1,2,2,2,1,1,0
ISTP,SP,istp,7cUlbqhfEKNyN8Z44LF8kL,50,0.69372,0.111414658,0.54386,0.112506147,-7.43552,1.727945072,0.6,0.494871659,0.106876,0.091843926,0.2730048,0.190079426,0.161972,0.109938194,0.476432,0.20242949,120.5472,28.61120805,0.002260217,0.013752833,2,5,1,1,1,2,0,1,4,4,3,2,2,1,3,0,4,2,3,3,2,0,2,2
ISTP,SP,ISTP ig,2dWwzKaVg5nGcfhXUKGYj3,50,0.6671,0.13256808,0.68626,0.149011136,-6.81146,2.717572861,0.62,0.490314351,0.086482,0.076197069,0.147207538,0.196708214,0.19527,0.157332412,0.502948,0.217684073,121.15066,25.89471869,0.281609968,0.384905082,1,3,3,7,0,4,0,2,2,1,0,2,3,3,4,2,2,1,2,2,3,0,1,2
ISTP,SP,🥀❤️ISTP❤️🥀,3qiWIlaxOFYODAmXD64K4a,50,0.5244,0.114079457,0.70524,0.170460668,-7.966,2.834566022,0.78,0.418451958,0.040222,0.016892146,0.139848216,0.205820913,0.155414,0.110396016,0.54512,0.235058103,128.49778,29.58892619,0.125846139,0.260497304,2,1,2,5,0,6,0,1,6,0,2,1,1,0,7,0,0,5,0,3,2,1,2,3
ISTP,SP,ISTP's drive,2x1HXvbUaMPqhFN2kNLdw7,20,0.6017,0.104331506,0.4749,0.16094978,-7.67075,2.520885556,0.75,0.444261658,0.05396,0.02966567,0.43944,0.268138207,0.192895,0.134886153,0.458,0.18958542,113.67755,27.43282026,0.000329808,0.001188889,0,0,1,0,0,4,0,1,1,0,0,0,1,0,3,0,0,0,0,2,2,4,1,0
ISTP,SP,Istpdyjhjn,4H5wgp7JdaKKulQFZxeuy4,48,0.593125,0.157871969,0.684666667,0.133841973,-6.0145,1.751132703,0.520833333,0.504852341,0.063589583,0.052068413,0.176052792,0.219774487,0.233616667,0.177856419,0.501941667,0.210651213,119.6289375,28.75020558,0.057714699,0.152549958,1,2,2,1,1,5,1,3,2,2,3,3,2,2,3,1,1,1,1,4,1,3,2,1
ISTP,SP,ESTP / ISTP 🛹🔥🪓,2HtJfJjMNMzTwr214dhfEy,50,0.65234,0.163864256,0.75228,0.19727346,-5.61084,3.184539324,0.64,0.484873221,0.117774,0.100273403,0.089400682,0.132615741,0.240142,0.147474647,0.5742,0.205739681,127.8041,31.10158097,0.076943955,0.213832889,1,0,0,3,0,2,0,4,5,6,1,1,2,1,7,0,2,4,2,2,5,1,1,0
ISTP,SP,ISTPMUWU,32NsdGHf7oWdFr8qSpmtYl,50,0.61338,0.138011962,0.7367,0.173046797,-6.32854,3.305152324,0.56,0.501426536,0.10291,0.101204469,0.232383606,0.258281967,0.232824,0.193454434,0.58496,0.259780202,125.29742,28.62946249,0.072963458,0.166155535,1,5,1,4,0,1,0,4,2,1,2,2,2,1,5,2,4,1,4,3,2,0,3,0
ISTP,SP,ISTP kpop songs,1QCSznaaeLLAVopWlb5vow,50,0.69788,0.127783082,0.7978,0.103023873,-3.65078,1.252851055,0.42,0.498569382,0.097624,0.0611086,0.093098,0.114286567,0.197316,0.153221864,0.59802,0.195531248,118.52942,26.21552228,0.002988128,0.020784096,4,1,0,4,1,6,0,5,0,5,2,3,0,0,0,2,2,2,4,3,4,0,2,0
ISTP,SP,istp/intp/intj,2xSIjfLPXY4q3vRgh5BH43,50,0.63606,0.152936483,0.67048,0.201790176,-7.24032,4.026036124,0.58,0.498569382,0.098234,0.08965019,0.131965106,0.207267641,0.206656,0.141799599,0.490476,0.236486574,121.05788,27.58690376,0.164168529,0.298657875,0,4,0,4,1,4,0,2,0,1,0,2,1,4,2,3,5,3,2,4,4,0,2,2
ISTP,SP,Istp :),0Sczxosbedf6orYsfJWi93,50,0.59722,0.155194584,0.56868,0.207041398,-7.18742,3.059125886,0.7,0.46291005,0.075242,0.062203193,0.362055192,0.310698428,0.218142,0.181791917,0.478598,0.220922035,130.73474,28.12379713,0.046082751,0.158969324,2,7,3,2,1,2,0,0,1,1,3,2,2,0,2,1,1,4,1,1,4,1,3,6
ISTP,SP,ISTP-A 5w6.,4cozasRBpmUiV30lUZf4Uu,37,0.501540541,0.133393652,0.760621622,0.200826259,-7.121783784,3.628108783,0.621621622,0.491672393,0.084345946,0.077012364,0.114216429,0.197154566,0.21997027,0.180822334,0.548594595,0.2148513,127.2664324,24.35059061,0.168170088,0.283443244,1,2,3,1,0,7,0,3,0,2,1,1,1,0,2,0,3,3,2,1,1,1,1,1
ISTP,SP,ISTP,6PPjxNXNyY72Pd7s12MBEw,50,0.6023,0.14500855,0.65528,0.184842243,-6.33784,1.993092565,0.74,0.443087498,0.081072,0.088534981,0.205971232,0.231984198,0.18463,0.151369846,0.50206,0.210843729,131.17352,31.28024229,0.026826666,0.091585933,1,3,0,3,0,8,1,0,4,2,3,1,2,0,3,2,2,2,2,3,2,1,1,4
ISTP,SP,istp,6ULQyxevAA3NrrYQ8Aap7t,16,0.5824375,0.130577164,0.58275,0.198024073,-7.842875,3.455655285,0.5625,0.512347538,0.06688125,0.039140162,0.31477375,0.296052714,0.17809375,0.12446332,0.440975,0.202689672,107.078125,22.78170957,0.008227063,0.018551913,0,2,2,2,0,1,0,2,0,0,0,0,2,0,1,0,0,1,1,1,0,0,1,0
ISTP,SP,istp<3,5PYsDt8SIpkerzNN9pzbyi,12,0.703,0.088291871,0.638416667,0.088834328,-6.204083333,1.562295773,0.833333333,0.389249472,0.133216667,0.105191616,0.292241667,0.239219304,0.205858333,0.118681012,0.532166667,0.226411867,105.213,27.94600612,0.000130413,0.000437717,0,2,0,2,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0
ISTP,SP,istp,7axnjQV0JuLrlNlF7XiYlQ,50,0.6163,0.12782773,0.476456,0.160789293,-8.45722,2.76476662,0.62,0.490314351,0.09971,0.095438289,0.396736,0.264070652,0.171338,0.108449147,0.337266,0.181917825,118.03384,29.54105557,0.007835771,0.038094558,1,3,1,6,0,5,0,0,1,1,3,2,2,2,4,2,2,1,1,5,1,1,4,2
ISTP,SP,istp,6hrwFa1v00o20m7ygBgRfv,50,0.5241,0.155319979,0.49124,0.196701427,-9.58552,3.255950084,0.38,0.490314351,0.062244,0.077403288,0.40636894,0.335988288,0.167432,0.122211949,0.364752,0.220514191,119.9013,36.17293737,0.162903015,0.273134805,1,4,2,2,4,3,1,7,1,4,1,2,0,4,1,0,3,2,2,2,2,0,2,0
ISTP,SP,istp,5wuTLoC7LUCu9QDqtmcn1H,50,0.66308,0.149433739,0.62558,0.135617874,-7.3576,2.230854188,0.5,0.505076272,0.168576,0.109065658,0.2613424,0.215247956,0.206652,0.158881358,0.452268,0.22881426,126.26752,31.19657762,0.015178441,0.072123202,3,1,6,6,0,3,0,1,2,5,3,0,0,1,5,0,2,0,3,5,2,0,1,1
ISTP,SP,ISTP-T,7jBviuVZuz9b1xbLCZMuQ2,50,0.51684,0.114544593,0.78474,0.164039668,-5.18496,2.215594009,0.78,0.418451958,0.067642,0.052004906,0.065894192,0.130863144,0.188572,0.106811134,0.549138,0.211715532,130.736,35.00199343,0.069056643,0.20242379,1,1,1,5,0,4,0,1,6,1,6,3,4,0,3,2,3,2,0,1,2,0,1,3
ISTP,SP,leo istp,0zQiG0NQC5skNOVDuo8UIa,50,0.65296,0.123100251,0.67774,0.151420594,-5.96652,2.141286246,0.54,0.503457434,0.08311,0.070268358,0.1599102,0.184814042,0.174918,0.107856478,0.510282,0.215729339,118.60612,26.24295623,0.003481591,0.015631879,1,4,3,5,2,5,1,3,1,3,1,3,2,0,5,0,3,0,2,4,1,0,1,0
ISTP,SP,☞︎︎︎ ❀ istp ❀ ☜︎︎︎,7JNMBHH7vTMzszpo70GzSi,50,0.60558,0.130192023,0.60394,0.191238542,-8.06438,2.920802258,0.5,0.505076272,0.07093,0.075869583,0.29616614,0.286366239,0.193262,0.124310459,0.52852,0.207466274,125.4339,28.91830542,0.036611743,0.147307042,2,7,3,1,1,3,0,4,1,0,3,5,1,2,4,3,2,3,0,0,0,0,5,0
ISTP,SP,ISTP,3JFMj6zpxG9iVGqu0Z5Xlp,50,0.66282,0.156957903,0.74608,0.119984326,-5.39834,2.134033009,0.52,0.50467205,0.12256,0.103872713,0.11206058,0.181062945,0.217566,0.193246216,0.55256,0.219342818,118.92204,27.34717529,0.102922643,0.235143837,0,2,2,7,2,2,0,2,1,4,2,2,3,3,2,2,4,1,1,4,1,1,2,0
ISTP,SP,istpp,5k7FDKkUA5Qat2gIvSKBle,50,0.57168,0.153451241,0.72692,0.170633973,-6.7471,2.146294645,0.56,0.501426536,0.103992,0.118788613,0.167426687,0.219168689,0.158844,0.115366055,0.556698,0.226219635,130.48344,36.76081184,0.128866998,0.274372095,0,2,1,2,1,3,0,4,5,2,3,2,1,2,2,2,3,4,6,1,1,1,1,1
ISTP,SP,istp?,2FjXPjbte0ocAGbb5lyCnk,50,0.57318,0.141280253,0.471526,0.2456043,-9.22706,4.089759084,0.62,0.490314351,0.0765,0.076339417,0.43883308,0.344248667,0.163002,0.126309843,0.3725,0.185302895,109.61366,28.81102169,0.102257423,0.247408644,1,7,2,4,0,3,2,5,0,0,2,0,0,1,3,1,1,5,1,4,2,3,2,1
ISTP,SP,istp 5w6,2vfF0d2xvPR0nYNTA93NSG,50,0.53236,0.172048731,0.77742,0.142026311,-5.6917,1.641117293,0.6,0.494871659,0.07166,0.074313272,0.047618702,0.084394923,0.179356,0.138741947,0.562938,0.232837283,123.50336,28.34839715,0.051159262,0.133239422,1,5,0,3,1,5,0,2,1,3,3,3,0,2,3,0,3,5,0,4,1,0,4,1
ISTP,SP,Iam…ISTP?,6tIm4ku6GXf7eRYHkKhFED,28,0.657357143,0.130835836,0.716,0.150700095,-5.469821429,2.303962353,0.571428571,0.503952631,0.103707143,0.093629253,0.123212696,0.15548626,0.204028571,0.159895635,0.5195,0.154542934,123.3351429,25.18918929,0.049333333,0.164908853,0,1,1,5,0,2,0,5,0,2,3,1,0,0,1,0,1,0,0,2,1,1,1,1
ISTP,SP,Istp,0z3j7iOuOJYRPbjOHR3OQd,50,0.6417,0.177731539,0.70832,0.193995944,-6.34196,2.367034474,0.6,0.494871659,0.097592,0.097636604,0.095372288,0.17580001,0.209344,0.179969533,0.521256,0.218101051,124.20758,27.65455527,0.084025254,0.216650622,1,3,2,6,0,3,0,4,2,3,2,2,3,1,1,2,3,3,0,4,3,0,1,1
ISTP,SP,ISTP,2pzqM926GSmCKqQXYMJEGm,50,0.59538,0.164282471,0.32074,0.133298623,-12.63666,3.547815031,0.56,0.501426536,0.126966,0.146298347,0.658974,0.26667203,0.136386,0.085805161,0.29278,0.204114049,117.82456,30.31997307,0.114343465,0.220672336,0,6,1,1,0,3,0,7,1,1,2,1,1,4,8,2,2,2,1,2,1,0,3,1
ISTP,SP,- karma: my istp vibe. 🕷️,10MmtNL1gK4jDCqmSNJIpt,50,0.6674,0.149736776,0.696124,0.173758293,-6.45166,3.146765139,0.54,0.503457434,0.108182,0.100512588,0.161876612,0.218853722,0.177874,0.126773082,0.561732,0.226921184,117.82378,27.37261192,0.029201798,0.096673019,2,2,2,1,0,2,0,4,2,4,0,1,2,1,5,3,6,6,3,2,0,0,1,1
ISTP,SP,istp playlist,0Gsnc2x7WovdIwKr8q6PZ4,19,0.711,0.100839807,0.716473684,0.13787489,-5.811736842,1.627955358,0.368421053,0.495594628,0.135736842,0.116951995,0.112838421,0.149801101,0.151963158,0.142962494,0.621736842,0.254883599,127.3822632,20.28980796,0.007208433,0.026462295,2,0,1,1,0,2,0,1,0,1,0,0,1,1,0,0,1,1,3,3,1,0,0,0
ISTP,SP,ISTP playlist,44DjlHTLpr5H6neEDmDqwg,50,0.54724,0.149187399,0.7816,0.17407751,-6.20946,2.495150212,0.6,0.494871659,0.064136,0.042410144,0.120529882,0.201958841,0.20866,0.139659504,0.550398,0.260042465,124.85342,30.03542631,0.205125334,0.326596543,1,3,2,2,2,2,2,2,3,2,3,0,6,0,2,1,3,2,1,1,2,0,6,2
ISTP,SP,ISTP Type Beat,7jpCKhmdsFeXda6kuMFawJ,17,0.557705882,0.12333175,0.659882353,0.190416938,-7.272058824,2.68742108,0.588235294,0.507299656,0.064529412,0.043516718,0.278832353,0.281199252,0.212035294,0.130726326,0.549194118,0.195805268,139.7665882,38.43586453,0.307962982,0.344502405,0,2,1,1,0,2,0,2,0,1,0,0,2,0,0,2,3,0,0,0,0,0,1,0
ISTP,SP,istplaylist,3uTV8quK5m8s0u1OEXbZwL,50,0.61012,0.113868639,0.63804,0.131367837,-6.67176,1.851404834,0.42,0.498569382,0.087388,0.065936558,0.12664964,0.153596542,0.16999,0.123464177,0.42788,0.206509835,119.46078,30.24143425,0.00033905,0.001097037,3,4,3,5,1,1,2,3,0,4,2,1,1,5,3,0,2,1,1,2,0,0,4,2
ISTP,SP,istp 8w9,7ohVPDlpZPpED4I3hNRYeG,50,0.63056,0.158215709,0.7433,0.168807371,-5.30902,2.504469307,0.6,0.494871659,0.103582,0.114535756,0.1524687,0.217173195,0.179442,0.124806103,0.508144,0.227215999,123.27548,32.22385187,0.044436219,0.143652445,4,8,2,2,1,1,0,4,0,2,2,0,4,1,3,1,2,1,0,2,5,1,3,1
