mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,Dminor_count,DMajor_count,D#_EbMajor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/Gbminor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,Bminor_count,BMajor_count,Cminor_count,F#/GbMajor_count,Gminor_count,A#/Bbminor_count,A#/BbMajor_count,D#_Ebminor_count
ESTP,SP,estp 7w3,0ddZJDBW7hkjXO6PYOwYTh,50,0.61352,0.155250192,0.62938,0.129058425,-7.3476,2.119843256,0.58,0.498569382,0.172486,0.135614178,0.167916,0.188211554,0.276586,0.217530161,0.456104,0.220578247,117.81086,32.04602025,0.056367197,0.200526266,5,1,5,1,3,0,4,1,1,1,2,4,3,3,0,2,0,2,1,3,3,5,0,0
ESTP,SP,ESTP with an ego,2usBKebkJ5o2Y0oc4gGxtW,50,0.7666,0.119681891,0.69904,0.151425871,-5.853,2.609576438,0.5,0.505076272,0.112148,0.099653414,0.108574228,0.166316784,0.235396,0.162408117,0.6308,0.212646108,121.45776,22.56584164,0.000435043,0.00234934,5,2,5,2,2,0,3,2,5,0,3,4,1,2,0,2,4,0,0,2,1,4,1,0
ESTP,SP,This Is EstA,37i9dQZF1DZ06evO1y4kJ9,50,0.6836,0.124894568,0.65786,0.105720851,-7.52806,1.977362616,0.52,0.50467205,0.195898,0.113736162,0.178896,0.139266212,0.1947,0.128866656,0.489118,0.189674346,111.53026,28.68297848,2.91E-06,1.48E-05,5,4,5,0,3,1,1,0,4,0,1,3,1,3,3,3,2,0,2,2,2,3,1,1
ESTP,SP,raging estp / entp,1D2xEzvk5fnnyXdUzhZyxt,50,0.65366,0.133138352,0.7244,0.156361564,-5.56382,2.327089482,0.54,0.503457434,0.108674,0.110589304,0.11414222,0.152526982,0.209328,0.162679663,0.62086,0.198704684,128.30246,27.7274017,0.020251999,0.073223909,4,2,3,0,2,1,4,1,3,2,1,4,2,4,4,0,4,2,1,3,1,1,1,0
ESTP,SP,This Is Esthero,37i9dQZF1DZ06evO15lEo9,38,0.660736842,0.113825776,0.576736842,0.179748877,-8.177447368,2.342824407,0.552631579,0.503896623,0.079776316,0.075542046,0.318512632,0.323980835,0.145365789,0.078173031,0.499615789,0.177817607,113.6329211,24.01898309,0.048838391,0.116746336,3,2,4,0,4,0,3,0,1,3,3,2,1,1,0,1,2,1,1,1,0,4,1,0
ESTP,SP,This Is ESTA.,37i9dQZF1DZ06evO2N1nEI,50,0.62494,0.182419947,0.393318,0.241668441,-12.79938,7.321531706,0.32,0.471212071,0.111496,0.10275718,0.40185084,0.315839478,0.13641,0.071429206,0.391734,0.241775567,111.53918,25.80218481,0.377355926,0.400255747,0,7,2,0,2,1,6,1,2,2,2,3,1,1,1,0,3,0,2,3,1,3,1,6
ESTP,SP,ESTP songs,52Nr2jMtUOgmHKAFPLQ6Jb,50,0.65288,0.155617747,0.737,0.160200257,-5.50918,2.2759354,0.5,0.505076272,0.100382,0.088108515,0.082772232,0.161559097,0.23327,0.191088143,0.493402,0.218453504,127.18368,26.82796752,0.016063576,0.082686361,4,3,3,0,4,0,2,0,3,0,1,4,0,5,6,1,2,4,3,0,2,3,0,0
ESTP,SP,This Is Estirpe,37i9dQZF1DZ06evO02YYUg,37,0.539810811,0.148067709,0.769189189,0.195813664,-6.879,3.295156024,0.567567568,0.502247202,0.082581081,0.100628847,0.034117789,0.085043023,0.212135135,0.219507364,0.499505405,0.200656536,121.2295946,30.49699337,0.068965215,0.225017664,2,1,3,0,1,0,5,3,1,0,4,4,0,0,2,5,2,3,0,0,0,1,0,0
ESTP,SP,This Is Esther,37i9dQZF1DZ06evO4jJXE5,41,0.553902439,0.148919073,0.520902439,0.249766672,-10.51790244,4.302272985,0.853658537,0.357839043,0.074629268,0.089165358,0.417513976,0.341037987,0.168192683,0.153111912,0.602,0.211454842,116.1285366,22.7703521,0.001440299,0.00664892,6,0,1,1,6,0,2,5,0,3,0,2,0,1,0,6,2,4,0,0,0,1,1,0
ESTP,SP,entp x estp playlist,6ATL6hBF9GeJDRn3SG3N9S,50,0.67476,0.135907015,0.78836,0.128842692,-4.64054,1.809982278,0.56,0.501426536,0.090712,0.07707207,0.050916116,0.105199246,0.193358,0.133727258,0.53722,0.212770768,122.6714,26.36396089,0.082375008,0.234003991,3,1,5,0,3,0,2,1,3,2,3,4,1,3,5,3,1,2,1,1,1,3,1,1
ESTP,SP, ESTPxINFJ 🫂,7neFS2B1ibFaLuLD9fvPAh,50,0.58514,0.159204657,0.61094,0.207056476,-6.98066,3.966034475,0.44,0.501426536,0.059088,0.053274693,0.21734418,0.283858914,0.154924,0.114036592,0.47066,0.235788093,120.75232,28.85049904,0.062682475,0.173869324,4,3,2,0,2,1,4,0,2,2,2,2,0,0,6,1,4,4,4,2,1,2,2,0
ESTP,SP,This Is < E S C P >,37i9dQZF1DZ06evO3uAO7D,44,0.6515,0.109540796,0.529613636,0.159754785,-9.96375,2.830868756,0.522727273,0.505257768,0.039775,0.011930167,0.162017066,0.210701037,0.182745455,0.144504107,0.398679545,0.250858613,120.9379545,34.4246527,0.797826591,0.194644144,5,2,0,1,5,0,6,4,2,2,0,4,0,1,0,2,5,0,1,0,1,3,0,0
ESTP,SP,"MIX (Delincuentes, Ojos, Muchachito, Estpa)",49K2FkTtjEp2JEyUWxY4qw,50,0.68964,0.094228935,0.76702,0.123222462,-6.61042,1.674033307,0.7,0.46291005,0.088038,0.107659349,0.3054006,0.170936576,0.255978,0.23218469,0.75044,0.194351371,106.60818,18.82539525,0.012467352,0.087527701,4,0,2,1,4,0,1,7,0,2,5,7,0,1,4,4,2,2,0,1,1,1,1,0
ESTP,SP,This Is Ester,37i9dQZF1DZ06evO4ijqOL,50,0.5884,0.17555033,0.578066,0.247047193,-9.51278,4.872786812,0.82,0.388087934,0.051234,0.033271159,0.349769668,0.313585025,0.19339,0.142530408,0.516792,0.290326074,132.46274,31.13411316,0.081745954,0.224504923,9,1,3,0,2,3,1,2,1,3,1,2,1,4,1,5,2,1,0,2,0,0,5,1
ESTP,SP,estp type beat,05rbhYfUXnrPBEaQEoxOvV,22,0.569090909,0.177996498,0.626954545,0.150938801,-6.908818182,2.43487001,0.727272727,0.455842306,0.0799,0.072734409,0.223209105,0.193198774,0.19025,0.163935739,0.508863636,0.247032733,130.4756818,35.56312774,0.000203778,0.000495545,3,0,2,1,2,0,0,1,1,1,1,2,0,2,1,0,0,0,2,0,0,0,3,0
ESTP,SP,This Is Estate,37i9dQZF1DZ06evO37pQCB,38,0.606868421,0.169283733,0.718794737,0.212548782,-8.221710526,5.068183826,0.552631579,0.503896623,0.069397368,0.066282379,0.148346974,0.253295899,0.176671053,0.112299459,0.545128947,0.253224683,122.0774474,18.94691023,0.338349919,0.363074137,3,1,1,2,5,0,1,1,1,1,6,4,0,2,3,3,2,1,0,0,0,1,0,0
ESTP,SP,Rock en estpañol,0ohs39U5ITWwwuKHIdwpOs,50,0.64854,0.129450205,0.67556,0.182168027,-7.69004,2.906367703,0.52,0.50467205,0.048254,0.041954773,0.2248056,0.222973212,0.200972,0.191510066,0.60778,0.214482699,121.48052,29.23404487,0.019557595,0.081729314,5,0,1,1,3,4,5,0,1,1,2,7,3,1,4,3,2,0,1,0,4,1,1,0
ESTP,SP,This Is Esterházy Ensemble,37i9dQZF1DZ06evO2q4CBQ,27,0.258888889,0.116197886,0.071149259,0.055367873,-17.1002963,2.599336629,0.888888889,0.320256308,0.038548148,0.004323849,0.965444444,0.05183727,0.114640741,0.026119831,0.220659259,0.180818299,107.1719259,22.68322181,0.820159259,0.178572029,0,1,10,1,1,1,0,1,0,0,0,0,0,7,0,1,1,1,0,2,0,0,0,0
ESTP,SP,ESTP sx/so 872 sang-chol,0ukcoaouyfpsDDikH06GQF,50,0.63886,0.125687012,0.77776,0.167399993,-5.4205,2.631980175,0.72,0.453557368,0.125254,0.116770286,0.177029088,0.228754264,0.32742,0.237952014,0.67752,0.170806997,130.88978,28.99167989,0.010765531,0.053060469,10,0,8,0,2,2,4,0,2,2,0,1,0,3,1,3,3,2,1,1,0,3,2,0
ESTP,SP,Estp,1xkAq0nZQWrYMHPOS4Ihm7,14,0.624928571,0.115252542,0.782214286,0.117454527,-7.043785714,2.5005429,0.642857143,0.497245158,0.0902,0.057183793,0.269142857,0.16472592,0.1836,0.213841501,0.763357143,0.135789774,116.6673571,27.6028732,0.000474672,0.001289457,5,0,1,0,0,0,0,0,0,0,0,2,0,1,3,0,1,0,0,0,1,0,0,0
ESTP,SP,ESTP / ISTP 🛹🔥🪓,2HtJfJjMNMzTwr214dhfEy,50,0.65234,0.163864256,0.75228,0.19727346,-5.61084,3.184539324,0.64,0.484873221,0.117774,0.100273403,0.089400682,0.132615741,0.240142,0.147474647,0.5742,0.205739681,127.8041,31.10158097,0.076943955,0.213832889,0,0,3,0,2,1,4,5,6,1,1,7,0,2,1,4,2,5,1,2,1,2,0,0
ESTP,SP,estpy enlokeciendo,2COrbMgdQwvzpkKCg6pQhN,50,0.59002,0.14134088,0.6568,0.217210328,-6.5763,2.690387274,0.62,0.490314351,0.06172,0.061747071,0.24851606,0.297964617,0.152612,0.121122328,0.5533,0.231193289,124.51296,32.36298211,0.10924396,0.243113559,4,1,5,0,5,0,3,0,3,1,0,1,1,1,3,5,2,5,3,3,1,2,1,0
ESTP,SP,Estp ,4F46Aa7njpAehlW9AwC1LV,13,0.612307692,0.160503575,0.708846154,0.160393706,-6.061076923,3.213357109,0.461538462,0.518874522,0.096869231,0.133485233,0.140235692,0.176037616,0.198715385,0.17504167,0.477384615,0.183223242,135.6560769,31.75588628,0.079321912,0.181942215,0,2,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,2,0,1,2,1,0,0
ESTP,SP,EstPlay ,1M9339EXKqDGAqe0X2xD4r,50,0.59202,0.146186139,0.60496,0.199746366,-7.37544,3.275264165,0.5,0.505076272,0.055458,0.034456225,0.2806034,0.298633391,0.17369,0.102746493,0.50862,0.219685293,116.9867,28.42841724,0.096163331,0.237677409,2,1,2,2,0,3,4,0,4,2,2,2,1,3,2,3,3,3,2,3,1,3,2,0
ESTP,SP,ESTPOKER22,7c7vRYKebzpKf7w0M5fJbc,50,0.75632,0.12773385,0.61434,0.169425874,-8.2624,3.136982757,0.76,0.431419111,0.0945,0.072460255,0.1606382,0.148782482,0.151312,0.122064698,0.72344,0.209624948,115.50658,31.86484478,0.032293547,0.10946095,7,1,7,0,2,1,1,3,3,3,1,5,1,2,1,4,1,1,0,0,3,0,3,0
ESTP,SP,tell me all the ways to stay away,3V58i9laro5CBGjIuYkA7d,30,0.536833333,0.142298638,0.6592,0.191645398,-7.339333333,3.470273102,0.566666667,0.504006933,0.058123333,0.049707112,0.151507163,0.264386869,0.21546,0.174305326,0.37518,0.186695573,122.8637667,32.59549843,0.077021787,0.176490768,2,1,2,0,2,1,2,0,0,1,1,3,1,2,0,0,3,2,0,0,3,1,2,1
ESTP,SP,estp,0wgCCdUOnLuSOjwItHBJDE,9,0.707333333,0.134342845,0.694111111,0.164888936,-5.243222222,2.298286959,0.444444444,0.527046277,0.118355556,0.079031103,0.122009222,0.214721122,0.148811111,0.09322393,0.468222222,0.173663308,130.4495556,28.43085038,0.084545501,0.24882429,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,2,0,0
ESTP,SP,ESTP,0F3ie4jLk8n6nGo7UGilTx,19,0.626157895,0.131868311,0.813789474,0.15593324,-4.244947368,2.042007114,0.526315789,0.512989176,0.116663158,0.127771216,0.020207789,0.047891564,0.319752632,0.276123015,0.478342105,0.224936044,129.8728421,31.15174524,0.105958961,0.27809308,0,3,2,0,0,0,2,0,1,0,0,0,0,3,1,1,1,2,0,1,1,0,1,0
ESTP,SP,estp.,5Yhcz9IfscldUYhlHiOwDM,50,0.62726,0.103958549,0.76942,0.141756919,-5.09652,2.00212256,0.66,0.478518121,0.101694,0.089110389,0.12135152,0.157592272,0.168714,0.13470472,0.538652,0.210404186,124.70818,24.84426557,0.013953637,0.055312745,9,1,1,0,3,0,2,2,2,2,2,2,0,8,3,2,1,2,3,2,1,1,0,1
ESTP,SP,S7 ESTP 📚,62zqKtAhavhhPLTR5R2JuW,31,0.580290323,0.164597528,0.560258065,0.22924746,-9.524645161,4.024703604,0.419354839,0.50161031,0.100529032,0.102963454,0.41077571,0.357114256,0.220387097,0.173222192,0.368190323,0.250070065,122.4255806,31.79843695,0.406863039,0.407414025,1,0,2,0,2,2,2,0,3,1,1,1,2,3,3,0,1,1,5,0,1,0,0,0
ESTP,SP,Estp ,1Qd8yvdBeVF1wDmrmf69vo,50,0.61874,0.15140132,0.68188,0.165274866,-6.18758,2.634003115,0.4,0.494871659,0.07876,0.064781542,0.088986258,0.109290488,0.229678,0.153732246,0.47008,0.234697012,131.24994,26.42445055,0.074663303,0.208393506,4,4,4,0,1,0,1,0,6,2,1,1,2,3,4,1,6,2,1,1,3,1,1,1
ESTP,SP,Estp,01QUPcqLJj9LWKkcD7gafW,50,0.66526,0.150691171,0.7524,0.155328487,-5.27102,2.417113057,0.54,0.503457434,0.081456,0.083234312,0.070740142,0.119525348,0.186732,0.166497791,0.53564,0.251654506,129.76342,25.51729885,0.046465551,0.165292401,2,3,3,0,4,1,1,0,2,1,1,8,0,2,6,1,2,3,2,1,1,3,1,2
ESTP,SP,💪ESTP🌟,2BcrWe3EJtJB2LPQRJbzGX,15,0.679,0.116586571,0.8098,0.136265078,-4.4486,0.967271701,0.533333333,0.516397779,0.1654,0.126830748,0.053216667,0.067613329,0.251,0.211137714,0.609066667,0.200661928,129.9331333,24.84845624,0.096554844,0.25769964,0,0,3,0,1,0,0,1,1,1,2,0,0,0,1,2,2,0,0,0,1,0,0,0
ESTP,SP,ESTPBG,0zCrZQdHaTehNHZkvigURP,50,0.7109,0.115707628,0.5348,0.123612792,-7.97206,2.206626046,0.34,0.478518121,0.158452,0.123107198,0.286671,0.207300787,0.178998,0.131192326,0.485944,0.208649632,120.52922,21.42906108,0.009943443,0.04268751,4,5,3,2,0,0,7,1,3,2,2,2,0,2,2,0,1,1,2,2,2,4,0,3
ESTP,SP,Estpañol🇪🇦,2SZEGFcTKxzaptkerb1LXF,50,0.63682,0.094977052,0.72342,0.158167709,-5.4755,1.482997231,0.76,0.431419111,0.05633,0.03869155,0.2928604,0.204957741,0.184844,0.131374455,0.55842,0.238660727,120.87806,26.78393728,0.003265744,0.016389883,6,2,3,0,6,0,1,6,1,4,0,2,0,1,2,0,1,1,2,5,1,2,4,0
ESTP,SP,ESTP,0b6pTiijwe1yUAyo5Bsh2G,16,0.6768125,0.142760974,0.7909375,0.108172374,-3.8015625,1.442747331,0.375,0.5,0.06868125,0.044970616,0.034229625,0.04525208,0.2264625,0.229896031,0.693125,0.184497471,129.1141875,20.54177742,4.26E-05,0.00011812,0,1,1,0,0,0,4,1,1,0,0,3,0,0,1,0,2,0,1,1,0,0,0,0
ESTP,SP,ESTP,6RTCULxqrP7y6K9tvRdasF,50,0.71658,0.13766598,0.76754,0.144069741,-5.09108,2.247240383,0.48,0.50467205,0.137512,0.118268052,0.06338908,0.099805372,0.162856,0.117547226,0.6225,0.212586237,123.50054,26.49875051,0.006238229,0.029810743,2,6,1,0,2,0,2,0,2,0,1,8,0,4,1,1,6,5,2,1,1,3,0,2
ESTP,SP,estp reyna main,27Cf0Vm9HqaJLoKRJWEiNc,50,0.6187,0.146883162,0.66676,0.163266723,-6.17784,2.358396561,0.62,0.490314351,0.108036,0.094141649,0.1427021,0.184926558,0.203496,0.131589229,0.445102,0.219976515,121.12068,30.11806213,0.012671179,0.037183814,2,2,4,0,1,0,4,3,1,3,5,4,0,6,0,0,3,3,1,1,1,2,4,0
ESTP,SP,Estp x Leo,12tJAnhZ3llw1cZy2DR5sO,23,0.833434783,0.113275138,0.663826087,0.135991194,-5.831478261,1.716769585,0.695652174,0.470471969,0.196156522,0.122531001,0.093886826,0.103483517,0.17993913,0.151642578,0.502526087,0.231873873,124.9376522,22.57178976,0.000204641,0.000609516,2,0,5,1,2,0,1,0,0,0,0,1,1,2,0,1,2,2,1,1,0,1,0,0
ESTP,SP,4estplaylistz,3dIFgxjY0x7z3w0Iax1why,50,0.407728,0.130543203,0.75654,0.184847671,-8.0371,2.573495608,0.26,0.443087498,0.0597,0.028065732,0.085710476,0.205433475,0.172718,0.123378349,0.204556,0.149032337,128.09592,30.47572419,0.146357846,0.280418958,1,1,3,3,1,0,5,0,4,0,4,3,1,0,2,1,4,0,1,2,0,7,2,5
ESTP,SP,ESTP-T,6i7zoGdhtkqT1mkIwOqW8K,50,0.6032,0.158455427,0.56462,0.132961233,-7.18528,2.250219672,0.64,0.484873221,0.112446,0.089789382,0.2351814,0.19344496,0.212492,0.170241697,0.436086,0.21775213,118.5095,30.34657211,0.009226478,0.039441342,1,3,8,0,2,3,2,0,2,1,0,3,3,2,1,6,2,1,1,3,1,3,2,0
ESTP,SP,Estp2,4KkFbSWwx7eQkHGBPnd1ys,40,0.587425,0.136294908,0.641575,0.193719582,-6.77855,2.433094684,0.725,0.452202587,0.0743575,0.080046188,0.27150175,0.284644955,0.19811,0.151450015,0.443895,0.216536726,127.625,27.99735854,0.003319977,0.014428357,3,0,1,0,1,0,1,4,1,4,1,3,0,5,2,3,0,2,1,2,4,0,1,1
ESTP,SP,C’estpasfacile,3DBkEVKh1jmsJDoiXBIN7d,50,0.79846,0.114283966,0.60592,0.142875405,-7.40826,1.954585752,0.32,0.471212071,0.239132,0.116222932,0.349664,0.225916128,0.16898,0.147524542,0.5627,0.193796574,127.27432,15.98990732,0.001544305,0.009315071,0,5,4,0,3,0,1,1,4,0,3,4,2,2,2,2,4,0,2,0,4,4,0,3
ESTP,SP,ESTP VIBES 😎 ( haciendose),7xfm5NShn3vzFDZSKcrSVG,50,0.58588,0.150750455,0.84446,0.1391313,-5.58454,2.204810346,0.56,0.501426536,0.133038,0.087197645,0.1018364,0.140720848,0.236848,0.146387338,0.545274,0.216964764,118.31116,25.64802307,0.020634068,0.093551754,4,3,2,0,0,0,5,3,0,1,2,4,1,3,2,3,3,3,4,3,1,1,2,0
ESTP,SP,ESTP (PDB),4qOEtTzBhvTKSA1efqB5ZH,50,0.61946,0.161701944,0.72248,0.144609995,-5.4978,1.916108311,0.48,0.50467205,0.112306,0.118003243,0.067968708,0.11771129,0.206108,0.170855787,0.511542,0.231276737,135.5743,28.24892896,0.000942097,0.005423951,4,5,3,1,4,0,2,0,3,0,0,4,1,5,5,1,3,2,1,1,1,3,0,1
ESTP,SP,ESTP playlist ( PDB ),0OxxL1lpLqh9H0VrDgKBn0,50,0.67874,0.115160546,0.82042,0.120277246,-3.98068,1.624474589,0.42,0.498569382,0.09898,0.06449473,0.08376938,0.109081164,0.177562,0.135049676,0.5743,0.180635189,128.41322,24.47243293,4.74E-05,0.000165536,5,2,2,2,2,0,2,0,4,0,2,3,1,2,7,3,2,2,1,1,1,3,1,2
ESTP,SP,estp,5HLfjsM7pcbFKE8KFPVtCT,50,0.72104,0.107208544,0.76354,0.136542318,-4.72992,1.749508197,0.56,0.501426536,0.100406,0.06659162,0.06887384,0.099786601,0.177886,0.170635946,0.584962,0.172820913,124.18816,23.67001046,0.004940323,0.020248116,2,0,4,3,2,0,2,1,3,0,2,4,0,5,3,1,3,7,0,2,2,2,0,2
ESTP,SP,ESTP Type Beat,2X7VydfrtujXrVyNcMmXoT,19,0.724578947,0.11045729,0.663052632,0.136201433,-7.474105263,2.712885055,0.473684211,0.512989176,0.136710526,0.111416565,0.203974421,0.243671621,0.213836842,0.171638882,0.631947368,0.18522553,103.2328947,15.92536056,0.061425141,0.192222106,1,1,3,0,1,0,2,0,0,0,5,1,1,1,0,0,0,0,0,1,0,1,1,0
ESTP,SP,estp,7usOkXzvRw9GeYe1vz8Ab1,17,0.520705882,0.135203441,0.860647059,0.109628886,-6.183588235,2.827210994,0.647058824,0.492592183,0.099152941,0.124505106,0.014327418,0.025232608,0.206094118,0.214158768,0.611941176,0.200153213,126.1039412,28.80415186,0.166085165,0.271013211,1,1,1,0,1,0,0,0,0,0,0,2,0,3,1,2,1,1,0,0,1,2,0,0
ESTP,SP,My music taste as a estp 7w8,3IbmjTUaji5s16FIasc8v8,27,0.622259259,0.167168177,0.672481481,0.161962809,-6.848888889,3.106129651,0.555555556,0.506369684,0.095455556,0.086056164,0.199725926,0.226254364,0.166359259,0.101442326,0.514444444,0.20106473,137.2447778,27.54338838,0.03156859,0.150026324,3,0,3,0,2,0,2,0,1,2,1,2,0,2,1,0,3,0,2,1,0,1,0,1
ESTP,SP,>> such a playlist - estparcae,4IXDpun8eWdBeaWJ3ageTw,50,0.53562,0.160587682,0.529954,0.176795199,-8.13806,2.967775188,0.52,0.50467205,0.056452,0.054637795,0.29980686,0.319327877,0.174448,0.164264478,0.278626,0.157936328,123.38192,31.83955477,0.053551206,0.143456151,7,5,0,1,2,2,3,2,0,3,2,2,2,1,5,1,2,1,1,2,2,1,3,0
ESTP,SP,the estp,1dMAqO3GuseutXnMSexUT5,50,0.65826,0.137590758,0.6153,0.151483582,-6.74736,2.425943046,0.76,0.431419111,0.078608,0.058975428,0.2008772,0.2433619,0.181394,0.151946541,0.540728,0.206780233,121.46004,27.73616763,0.03014591,0.124712576,2,1,3,0,3,3,1,4,1,4,3,5,0,1,0,4,2,2,2,4,1,1,3,0
ESTP,SP,ESTP ,7AHwmI1hUDtUxGlJbgoqbG,50,0.63736,0.159784518,0.72372,0.152835251,-5.4316,1.93055221,0.46,0.503457434,0.084776,0.080797445,0.09628016,0.173647576,0.185108,0.146664789,0.493028,0.263081297,131.96286,29.6630251,0.008223318,0.036204302,5,6,3,0,3,0,3,0,1,0,1,3,0,3,3,0,3,4,2,1,5,3,1,0
ESTP,SP,Badass-ESTP playlist,38EN4gCAwU0fs7b2tFZZxI,50,0.62626,0.12106143,0.71356,0.175848399,-5.71352,2.273220508,0.4,0.494871659,0.076774,0.069175033,0.18335498,0.236746532,0.18425,0.151920178,0.55346,0.216892545,124.97174,30.10077121,0.022552516,0.118647007,2,2,3,2,2,0,2,1,4,3,3,3,1,1,4,2,3,2,2,0,2,3,1,2
ESTP,SP,Being a fuckboy is hard - ESTP,3dsnYq9SnZu61siscpV3LT,36,0.613916667,0.142368009,0.740583333,0.185402323,-6.047277778,2.388942571,0.527777778,0.506309398,0.101625,0.090194277,0.113829039,0.193596391,0.252011111,0.18013208,0.647472222,0.170811088,130.0822778,32.11690095,0.020789699,0.108676407,2,1,2,1,3,0,1,5,2,0,2,2,2,1,1,3,3,0,1,0,1,2,1,0
