#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,song_frequency
6,ME! (feat. Brendon Urie of Panic! At The Disco),"Taylor Swift,Brendon Urie,Panic! At The Disco",182,8B,83,2022-02-14,03:13,74,emo,Lover,2019-08-23,61,3,0,73,0,10,-4,C Major,4,2Rk4JlNc2TPmZe2af99d45,USUG11901494,3
14,Counting Stars,OneRepublic,122,12A,71,2022-02-14,04:17,89,soft pop,Native,2013-01-01,66,7,0,47,0,10,-5,C♯/D♭ Minor,4,2tpWsVSb9UEmDRxAl1zhX1,USUM71301306,5
17,Green Light,Lorde,129,10B,72,2022-02-14,03:54,78,,Melodrama,2017-06-16,59,2,0,25,10,0,-8,D Major,4,6ie2Bw3xLj2JcGowOlcMhb,NZUM71700063,1
18,Run,BTS,133,10A,88,2022-02-14,03:56,75,k-pop,The Most Beautiful Moment in Life Pt.2,2015-11-30,55,0,0,55,0,10,-3,B Minor,4,3G1aAxWS2Nd17FQs4PWV6X,KRA381500658,2
20,A Million Dreams,"Ziv Zaifman,Hugh Jackman,Michelle Williams",55,9B,31,2022-02-14,04:29,77,musicals,The Greatest Showman (Original Motion Picture Soundtrack),2017-12-08,27,24,0,10,0,0,-12,G Major,3,0RoA7ObU6phWpqhlC9zH4Z,USAT21704617,2
25,Bag of Bones,Mitski,84,8B,24,2022-02-14,04:36,0,,Lush,2012-01-31,43,94,0,32,0,10,-13,C Major,4,1XDusI9Tc8F0gjPlKYYzez,uscgh1222962,2
30,Hi High,LOONA,97,6A,92,2022-02-14,03:16,49,k-pop,[+ +],2018-08-20,67,4,0,54,0,20,-2,G Minor,4,0RqzUS7AkBhQDrBxcGFeDv,KRE081800012,2
31,Chained To The Rhythm,"Katy Perry,Skip Marley",95,8B,80,2022-02-14,03:57,72,"pop, reggae",Witness (Deluxe),2017-06-09,56,8,0,47,10,20,-5,C Major,4,7qvxFz3JodM0A7xEM7k3YD,USUM71700560,2
35,Boredom (feat. Rex Orange County & Anna of the North),"Tyler, The Creator,Rex Orange County,Anna of the North",80,4B,58,2022-02-14,05:20,67,"bedroom pop, ",Flower Boy,2017-07-21,56,79,0,24,10,30,-10,G#/A♭ Major,4,5WNYg3usc6H8N3MBEp4zVk,USQX91701279,2
39,Welcome To New York,Taylor Swift,117,9B,63,2022-02-14,03:32,66,,1989,2014-01-01,79,4,0,62,0,30,-5,G Major,4,10nqz67NQWWa7XPq7ycihi,USCJY1431299,2
40,행복 (Happiness),Red Velvet,121,3A,87,2022-02-14,03:40,57,k-pop,행복(Happiness),2014-08-01,73,32,0,68,10,70,-3,A#/B♭ Minor,4,6XP9L7di5JnOc9WaeAW8oe,KRA301300670,2
43,Dynamite,BTS,114,11A,77,2022-02-14,03:19,82,k-pop,BE,2020-11-20,75,1,0,74,10,0,-4,F#/G♭ Minor,4,5QDLhrAOJJdNAmCTJ8xMyW,QM7282022872,6
44,betty,Taylor Swift,96,8B,38,2022-02-14,04:54,67,,folklore,2020-07-24,59,60,0,50,0,10,-9,C Major,4,5kI4eCXXzyuIUXjQra0Cxi,USUG12002848,3
48,I / Me / Myself,Will Wood,172,10A,95,2022-02-14,04:51,63,,The Normal Album,2020-07-10,48,17,0,76,0,80,-5,B Minor,4,1lqj3wgPj8gHCdq46hUjvr,QZKWA2004475,5
50,Heat Waves,Glass Animals,81,1B,53,2022-02-14,03:58,10,,Dreamland (+ Bonus Levels),2020-08-06,76,44,0,53,0,0,-7,B Major,4,02MWAaffLxlfxAUY7c5dvx,GBUM72000433,3
57,long story short,Taylor Swift,158,8B,73,2022-02-14,03:35,59,,evermore,2020-12-11,55,66,18,57,0,10,-8,C Major,4,2o2sgVJIgFXk8GQjWTgI6U,USUG12004716,2
59,Alcohol-Free,TWICE,97,4B,91,2022-02-14,03:30,66,k-pop,Taste of Love,2021-06-11,69,5,0,70,0,0,-2,G#/A♭ Major,4,0BTaaKT4RMbs5M73tOHX5Y,US5TA2100022,3
60,Field Trip,Melanie Martinez,92,8B,78,2022-02-14,03:00,54,,After School EP,2020-09-25,76,29,0,81,0,0,-6,C Major,4,722CyeKpgreqBAypTv5U3T,USAT22005795,2
61,Comedy,Bo Burnham,180,7B,56,2022-02-14,05:19,0,comedy,Inside (The Songs),2021-06-10,47,47,0,35,10,20,-8,F Major,4,2AziR5bWTpniyTm2GQNer7,USA2P2122064,1
62,SAY SOMETHING,TWICE,106,4B,84,2022-02-14,04:07,52,k-pop,Eyes Wide Open,2020-10-26,71,9,0,72,0,0,-4,G#/A♭ Major,4,2gagYYY4R8QimbnFqd96ST,US5TA2000145,2
64,REAL YOU,TWICE,120,8A,83,2022-02-14,03:07,47,k-pop,Formula of Love: O+T=<3,2021-11-12,86,10,0,89,10,0,-3,A Minor,4,3ax3sc1Rn99YbjyKT0HALS,US5TA2100102,2
66,Rose-Colored Boy,Paramore,115,7B,83,2022-02-14,03:32,66,"pop punk, emo",After Laughter,2017-05-12,77,0,0,93,0,0,-5,F Major,4,2RJfK2pOvGpnxC255YOy5k,USAT21700950,1
67,MAGO,GFRIEND,120,11A,82,2022-02-14,03:19,1,k-pop,回:Walpurgis Night,2020-11-09,62,1,0,65,0,10,-4,F#/G♭ Minor,4,46WaBBaEHzgbN88Ew0nh50,KRA382006219,2
68,After School,Weeekly,164,3B,93,2022-02-14,03:25,63,k-pop,We play,2021-03-17,63,1,0,74,0,0,-2,C♯/D♭ Major,4,52CBUrIdyf8tbZaUY9iawE,KRA382101559,3
69,DUMDi DUMDi,i-dle,123,12B,91,2022-02-14,03:30,54,k-pop,DUMDi DUMDi,2020-08-03,76,3,0,67,0,0,-1,E Major,4,2fJ70dRX7J4jiVxKUQQp7C,KRA392000053,2
70,Stupid Love,Lady Gaga,118,4B,83,2022-02-14,03:13,67,"art pop, pop",Chromatica,2020-05-29,68,0,0,78,0,20,-4,G#/A♭ Major,4,7yBbV2k2S2uhaQc24NF2xt,USUM71917357,1
72,DEPEND ON YOU,TWICE,100,7B,60,2022-02-14,03:18,46,k-pop,Eyes Wide Open,2020-10-26,68,10,0,52,0,40,-6,F Major,4,34WYAVk1WHSyMxY9tHRPyA,US5TA2000144,1
75,Moon,BTS,142,2B,65,2022-02-14,03:28,65,k-pop,MAP OF THE SOUL : 7,2020-02-21,70,1,0,64,0,10,-7,F#/G♭ Major,4,6KhAXXgDtEEahVzATvFNcn,QM4TX2001954,2
77,The Very First Night (Taylor's Version) (From The Vault),Taylor Swift,121,9B,73,2022-02-14,03:20,67,,Red (Taylor's Version),2021-11-12,68,0,0,58,0,10,-5,G Major,4,6pYNq0ZwpPVazKzsqpf0G8,USUG12103689,2
78,Magic,TOMORROW X TOGETHER,108,4B,88,2022-02-14,02:39,55,k-pop,The Chaos Chapter: FREEZE,2021-05-31,65,0,0,51,40,30,-5,G#/A♭ Major,4,4Wh5WGtov1VJ6EJ8OQgNeS,USA2P2108443,2
80,Strange Timez (feat. Robert Smith),"Gorillaz,Robert Smith",131,8A,92,2022-02-14,03:47,35,,Song Machine Episode 6,2020-09-09,56,42,4,65,0,10,-6,A Minor,4,3KvnDOxmZNgw3OE0e5ckGQ,GBAYE2000598,1
1,next2u,"demxntia,niko rain",88,8A,73,-,03:23,43,"vietnamese lo-fi, emo rap, ",next2u,2026-04-24,54,33,0,42,0,20,-5,A Minor,4,326b39qMfUJh44omXJH5Gh,SE6HN2693661,1
4,missing you,Jack Zhang,180,6B,30,-,03:33,39,,missing you,2026-04-17,28,66,0,31,0,10,-12,A#/B♭ Major,3,4boZabcHJ6mkRAkTjGTo3f,QZRP42664194,1
5,like you used to,Danny Heemstra,138,8B,44,-,02:19,21,,like you used to,2026-04-09,66,86,0,23,0,10,-9,C Major,4,2CokMKngNQrPba5bXuKtIU,QZTBA2632082,1
11,1123,PANNAGUS,156,8B,47,-,03:22,16,,1123,2024-07-02,58,67,0,31,10,30,-10,C Major,4,1a7niPw4f4qidfJWHXBKYq,DGA052491101,1
16,You Won't Catch Me Crying - Final Version,KEVNN C.,146,6B,23,-,02:14,37,,You Won't Catch Me Crying (Final Version),2026-04-10,63,79,0,77,0,20,-18,A#/B♭ Major,4,2rilPp0CYif6hLtqbduYNW,QZTBC2621731,1
