Model,Features,Accuracy,F1_Macro,F1_Weighted
random,original,0.06777645659928656,0.06277334972222494,0.06808075424530025
random,7d,0.06777645659928656,0.06277334972222494,0.06808075424530025
random,4d,0.06777645659928656,0.06277334972222494,0.06808075424530025
logistic,original,0.2520808561236623,0.2272108609726131,0.2427519816416607
logistic,7d,0.22829964328180738,0.20611150029140163,0.21802591405480212
logistic,4d,0.18311533888228299,0.15506281891337315,0.16754390754776793
rf,original,0.27824019024970276,0.2508313149985898,0.2683921610804363
rf,7d,0.26516052318668254,0.23771525532953336,0.25751223388924505
rf,4d,0.2259215219976219,0.2007182554317348,0.21894006912145564
multi,nn_original,0.2140309155766944,0.17173153125397167,0.18612696078245686
multi,nn_7d,0.19143876337693222,0.1440445526058548,0.1559945109360332
multi,nn_4d,0.1759809750297265,0.1269570251189855,0.13869161898046997
