mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,Dminor_count,DMajor_count,D#_EbMajor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/Gbminor_count,F#/GbMajor_count,GMajor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/Bbminor_count,Bminor_count,BMajor_count,D#_Ebminor_count,Gminor_count,G#/Abminor_count,A#/BbMajor_count
ENFP,NF,ENFP & INFJ playlist,0xdZq8J3HcYwfA4mNuQ8Qv,50,0.5827,0.132042703,0.67334,0.188431183,-7.35004,2.927609054,0.48,0.50467205,0.068378,0.06509308,0.20332078,0.25353313,0.206264,0.144740533,0.461504,0.216483319,119.2633,27.50548135,0.149128875,0.280270313,4,4,0,3,0,3,0,5,1,3,1,3,1,2,3,3,3,0,3,1,0,3,2,2
ENFP,NF,made by an Enfp✨🧚,2f7XL7qwLQYtD9E8uc65yX,50,0.63274,0.126330601,0.7164,0.187289801,-4.82818,2.252517337,0.46,0.503457434,0.075538,0.069743123,0.2110556,0.241643837,0.171952,0.131668162,0.53226,0.239700727,129.13866,25.81428138,0.004417499,0.021542455,3,2,0,1,4,5,0,1,1,2,3,3,0,3,3,8,3,0,3,1,0,1,2,1
ENFP,NF,i’m an enfp 4w5 :|,6mCGVf8b2xLRkknsSKVUgw,50,0.65374,0.116524993,0.65762,0.165113924,-6.17434,2.086230422,0.62,0.490314351,0.073486,0.05788466,0.2032782,0.222895977,0.183016,0.113594801,0.586654,0.200078592,120.01658,28.65873627,0.005892415,0.039721109,0,4,3,5,1,1,1,1,2,2,4,3,1,1,6,3,2,2,1,1,0,1,2,3
ENFP,NF,ENFP,17xY5wCDa9o1r0wbz5uQye,50,0.69056,0.101590245,0.68126,0.145972014,-5.95304,2.205509363,0.64,0.484873221,0.072402,0.05174282,0.221352,0.222538184,0.162152,0.124139716,0.594474,0.209851486,121.77562,26.57016648,0.020118368,0.115344947,0,5,1,4,0,3,0,3,4,4,3,4,2,5,2,3,3,1,1,1,0,0,1,0
ENFP,NF,ENFP,2Cpotitrrtu2mznyDCw917,50,0.64572,0.118011421,0.65174,0.169184456,-5.83,1.783349726,0.62,0.490314351,0.084708,0.090333346,0.2136542,0.210643378,0.160466,0.106401956,0.51572,0.191749628,116.93672,28.99957874,7.79E-05,0.000349333,3,3,1,3,2,3,3,2,1,3,1,1,5,5,2,1,3,3,0,0,1,1,1,2
ENFP,NF,Enfp,4RCH4PWMSPOk1NIbLPTLKY,24,0.608166667,0.13957752,0.732833333,0.181262161,-6.046166667,2.341085342,0.708333333,0.464305621,0.055466667,0.032923517,0.163028267,0.233513949,0.175420833,0.137005703,0.622541667,0.240412504,117.842,26.72297861,0.027035861,0.129083709,0,1,3,2,0,3,0,2,3,0,3,1,1,0,2,0,1,0,0,0,0,1,0,1
ENFP,NF,enfp girlll,2ZIHpNzt4aJ4HE4wC6gXR7,25,0.65172,0.167560317,0.489412,0.225974944,-9.6788,5.479861137,0.68,0.476095229,0.063204,0.039781083,0.5024572,0.326200029,0.225104,0.157081549,0.45164,0.230074966,118.0096,29.46871501,0.030470225,0.100563984,1,3,0,0,0,2,0,0,3,1,2,0,0,2,1,1,3,0,3,0,0,1,1,1
ENFP,NF,ENFP,6ZGvCnNCukCkSbUZG5wweg,50,0.62532,0.136434845,0.69884,0.17643191,-5.70178,2.461606206,0.76,0.431419111,0.078132,0.080227883,0.23180331,0.240848559,0.206612,0.170651546,0.566144,0.230087752,126.33242,28.22462626,0.010311177,0.030899519,1,4,1,6,0,3,2,2,3,3,3,3,3,6,2,0,3,1,0,2,0,1,0,1
ENFP,NF,enfp's mood,7fgBdUKXnkQiSZ94S8XNFe,50,0.69612,0.086841784,0.6376,0.179209033,-5.90648,2.162753085,0.56,0.501426536,0.096692,0.109299984,0.2371278,0.272077109,0.13952,0.112203714,0.55366,0.205607275,112.80134,25.53054229,0.002640806,0.018379947,1,3,4,4,0,3,1,0,4,3,2,2,2,6,1,3,2,2,4,0,1,2,0,0
ENFP,NF,Pov: enfp,5TDBZFJMuh3XQSnfuyB716,42,0.536380952,0.133676886,0.413761905,0.203451895,-9.74552381,3.99687973,0.880952381,0.327770068,0.041180952,0.015677905,0.577179762,0.305887726,0.15255,0.0887342,0.381,0.202809294,113.3711905,32.15549182,0.02495119,0.104740043,0,2,1,2,1,5,1,1,3,0,4,0,0,6,3,0,5,0,1,2,0,1,0,4
ENFP,NF,✨ENFP✨,1nl8oFYlx1ocPJgFOv7UKi,39,0.613871795,0.137354742,0.650794872,0.195174575,-6.663666667,2.584196051,0.743589744,0.44235903,0.072341026,0.057147826,0.245613087,0.248669216,0.178769231,0.125010373,0.520384615,0.2374571,127.2731795,32.01809092,0.024704471,0.110730825,0,4,2,4,0,7,0,3,4,0,3,2,2,0,3,1,1,1,0,1,1,0,0,0
ENFP,NF,Liz ENFP 4w5 479,5FhqiNmU4UnT8JeBvcacXp,6,0.402666667,0.112022617,0.491,0.321308574,-8.377666667,4.401444929,0.833333333,0.40824829,0.057383333,0.044716772,0.543098333,0.423625881,0.131333333,0.043500192,0.223333333,0.09643789,125.5183333,28.85413662,1.38E-05,2.53E-05,0,1,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0
ENFP,NF,Enneagram 7w8 ☀️ (ENFP),055TcbUi8lceL1zzYbLPgh,50,0.58588,0.141002626,0.72382,0.180777086,-6.08512,2.564736193,0.68,0.471212071,0.075448,0.055635583,0.14296956,0.214424578,0.19109,0.149946087,0.5116,0.223588452,127.75404,30.40856029,0.038722212,0.145842667,1,4,3,6,0,5,4,3,1,0,4,1,1,4,2,0,1,3,1,0,0,3,1,2
ENFP,NF,ENFP hopeless romantic,3NlxrHg39cg7CMPYFjNcRs,50,0.63392,0.141738022,0.68008,0.173620374,-6.43544,2.624123132,0.7,0.46291005,0.053148,0.033880921,0.1928442,0.226408707,0.16127,0.100336616,0.549016,0.22268641,115.64656,24.60063305,0.02224612,0.069203299,1,3,2,4,3,0,1,2,4,2,5,1,0,5,4,1,4,2,1,3,0,0,0,2
ENFP,NF,Enfp song🦖,4LkAoLgz0VoLQ3j2KqpGd0,9,0.629555556,0.105547514,0.769444444,0.104731933,-5.034888889,1.494881805,0.666666667,0.5,0.047577778,0.011810459,0.061381167,0.069275351,0.242155556,0.192379879,0.575888889,0.179846771,117.855,17.06356089,0.000963151,0.001961596,0,0,0,2,0,0,0,0,0,1,2,0,0,0,1,1,0,0,0,1,0,1,0,0
ENFP,NF,ENFP ,1xiTF9TeFzNpunl3ZYaSKH,36,0.641194444,0.095649007,0.743583333,0.106348585,-5.029916667,1.283760756,0.5,0.507092553,0.05515,0.031817259,0.087766639,0.137987043,0.166216667,0.102964056,0.576194444,0.191574651,119.6378333,25.57391996,0.002362738,0.009730674,0,3,2,0,0,3,0,4,0,2,2,2,2,4,1,1,0,2,1,2,1,2,1,1
ENFP,NF,istp & enfp,4BT0e5HzFrvRAMCsuajqrn,22,0.539409091,0.14609314,0.524727273,0.235236898,-8.057318182,3.292583692,0.727272727,0.455842306,0.037918182,0.01977099,0.317633182,0.32445557,0.211086364,0.2040712,0.429927273,0.226305024,109.9610909,29.52976503,0.015748326,0.045524369,1,0,0,1,1,0,0,0,4,0,1,0,0,3,1,1,2,1,1,2,0,0,1,2
ENFP,NF,ENFP,6JFeojYWFJC1A1qW0jrgIN,21,0.61152381,0.120137263,0.743952381,0.162771151,-6.481428571,2.848220279,0.714285714,0.46291005,0.05552381,0.033235236,0.187211214,0.170526824,0.16857619,0.110092002,0.608,0.227014096,117.7822857,28.12918933,0.039615384,0.150408175,1,2,1,3,1,0,0,0,0,1,1,1,2,1,0,0,2,0,0,2,0,1,0,2
ENFP,NF,Louis Playlist (ENFP Coded),296l338LteWL0Vj0dVX4hZ,50,0.56962,0.163297761,0.68428,0.191602271,-6.51552,2.648969983,0.74,0.443087498,0.063838,0.0530003,0.217885006,0.25266578,0.22965,0.220214562,0.524332,0.227020774,121.62534,29.93423439,0.045606595,0.162756182,0,5,1,7,0,3,1,1,3,0,5,1,2,4,1,3,4,1,3,1,1,1,1,1
ENFP,NF,enfp 4w3,6k0rkiQ1qnvkZZP0qJVwSy,50,0.52998,0.171858923,0.618992,0.267276348,-8.28308,4.858015849,0.6,0.494871659,0.068174,0.094565934,0.270640698,0.344219219,0.183832,0.117866253,0.501148,0.271125409,125.24772,30.36409573,0.154632257,0.262034221,3,7,4,2,1,5,2,3,1,1,2,0,1,3,1,3,3,1,3,0,0,0,1,3
ENFP,NF,ENFP,3D8ZvabIO9VqW6EjPzSUec,50,0.54646,0.162827843,0.58182,0.157391451,-6.9445,2.160497895,0.56,0.501426536,0.042528,0.035385648,0.2682681,0.257763573,0.196282,0.125989162,0.4171,0.238957115,116.88386,26.43193659,0.033790606,0.115875115,2,4,1,2,1,2,1,2,0,2,3,3,0,2,7,4,0,0,3,2,0,2,2,5
ENFP,NF,enfp energy >> ,1uOHcozohOqCFQdfafS82g,49,0.686510204,0.086658843,0.74222449,0.146089194,-5.81955102,2.404514132,0.734693878,0.446071286,0.071706122,0.055787123,0.148255102,0.180636745,0.17722449,0.115257616,0.626504082,0.226061185,125.5053469,24.62417411,0.00870049,0.051957459,1,3,3,7,2,6,1,0,2,3,2,1,3,1,2,0,5,2,1,3,0,0,0,1
ENFP,NF,Songs for ENFP’s,59sWwyiifli6XWy32F2YeR,50,0.60734,0.100445662,0.77766,0.127117912,-5.48384,1.496292021,0.86,0.350509833,0.057314,0.0442253,0.10046424,0.154977156,0.20563,0.142649684,0.57618,0.181665165,125.87002,24.39138843,0.013022617,0.074960627,0,4,1,4,0,4,2,1,4,0,4,1,3,5,4,0,6,1,1,3,1,1,0,0
ENFP,NF,ENFP + Aquarius,3ml6eAT9ModKZ7vDdXN9xt,27,0.583222222,0.119233557,0.597185185,0.159983422,-7.311851852,2.827724074,0.703703704,0.465321627,0.095996296,0.090524087,0.278176037,0.24955241,0.19777037,0.129774274,0.418037037,0.208008225,117.3852593,30.08399827,0.022830886,0.079547993,0,4,3,1,1,2,1,2,2,0,1,0,1,0,3,0,2,0,0,1,2,0,0,1
ENFP,NF,The yellow ENFP character🌻,0Ylmc1I9ULFHRB0jMryJmN,40,0.6612,0.115664901,0.6963,0.158325889,-5.88395,1.749592362,0.775,0.422902062,0.050695,0.024497734,0.222158,0.237378237,0.17461,0.103729747,0.6659,0.197914874,118.682075,25.10924593,0.026140685,0.099870662,0,4,0,3,0,3,1,2,3,2,2,2,0,3,4,1,2,0,0,2,1,0,1,4
ENFP,NF,my enfp ass,16mJJFw5aElm9i4GaycPXy,22,0.657363636,0.112453396,0.749545455,0.161684209,-5.620636364,2.007415812,0.590909091,0.50323628,0.052304545,0.026326367,0.2053085,0.261886292,0.208745455,0.112738208,0.705681818,0.186415406,127.7515909,21.53151392,0.043500725,0.172770899,2,2,0,2,0,1,1,1,0,1,1,1,0,1,2,2,2,0,1,1,0,1,0,0
ENFP,NF,felis felis enfpanchita,6D4Pxzbf3el3d6rur3BBiW,50,0.69258,0.113595431,0.65098,0.149219533,-5.968,1.960668691,0.68,0.471212071,0.08542,0.06703955,0.14204546,0.197009305,0.17788,0.125849669,0.55328,0.174229387,118.99974,28.90139854,0.009629879,0.067015171,0,5,2,3,3,3,1,1,2,0,3,2,1,10,2,2,0,0,4,3,1,0,1,1
ENFP,NF,Enfp comfort,22bVz37HQ3RrCfFrFbRiqx,50,0.55656,0.124498367,0.412472,0.190315042,-9.29224,3.46718328,0.86,0.350509833,0.05289,0.05913393,0.62722382,0.282885723,0.198082,0.17392418,0.384,0.180609399,114.4104,28.7546003,0.016946961,0.077623291,0,8,0,2,1,4,3,0,7,1,2,1,3,5,2,0,1,0,2,0,0,2,0,6
ENFP,NF,ENFP (Adi) Rap,1EiOhhQuyZq5l2dDW2PkRm,16,0.77925,0.136713082,0.6444375,0.177342595,-7.318875,2.451198098,0.4375,0.512347538,0.14328125,0.10682498,0.14663125,0.081684994,0.18668125,0.13164471,0.71,0.152183661,119.90875,22.8727726,0.025156457,0.058237168,1,2,0,1,0,1,0,2,0,0,0,0,0,0,0,3,1,2,0,2,1,0,0,0
ENFP,NF,pov: you’re the chaotic enfp of the group,1IQ91XMvBiJwTJ2kEQY8d1,36,0.661777778,0.119202615,0.775666667,0.124585025,-5.043444444,1.924876552,0.722222222,0.454256763,0.059386111,0.026872228,0.121094611,0.183860234,0.16825,0.097912297,0.692972222,0.157669362,119.0239722,26.67356003,0.000333502,0.00085207,0,4,3,5,1,2,1,2,4,0,1,3,2,0,1,1,2,0,0,3,0,0,0,1
ENFP,NF,ENFP Boost,006ytcA0VwLc2QEzI2PJzT,17,0.662941176,0.141146409,0.780294118,0.122855487,-7.185294118,3.143448818,0.470588235,0.514495755,0.099794118,0.084796643,0.172954665,0.19245141,0.149894118,0.072729769,0.515941176,0.285313089,134.9533529,32.26361803,0.313640102,0.409704655,1,1,0,1,1,4,0,2,0,0,0,2,1,0,0,0,0,1,0,0,0,1,1,1
ENFP,NF,¡ENFP!,23fK53TWXSE3xLqogizmiK,36,0.674833333,0.103189285,0.834527778,0.100102658,-3.642222222,1.641103272,0.555555556,0.503952631,0.106244444,0.065613346,0.128588611,0.146559582,0.201680556,0.177136028,0.622083333,0.154243476,132.0721944,26.50274508,6.19E-05,0.000314089,0,1,1,3,0,2,0,2,2,1,3,1,3,0,3,0,2,2,2,0,4,0,3,1
ENFP,NF,ENFP,58DtEg19QYP9mVNAU7Ksua,50,0.63474,0.145699693,0.63116,0.202337499,-7.09646,3.034149252,0.72,0.453557368,0.062196,0.045194396,0.212954542,0.272127045,0.154002,0.127276383,0.510902,0.273002023,111.12162,23.05376953,0.069345022,0.206578612,1,5,0,5,0,4,1,1,0,0,2,1,2,9,0,2,5,1,4,0,1,1,2,3
ENFP,NF,ENFP,3fFhgVmN1yyLphHQl6uCim,50,0.6209,0.149540282,0.7831,0.133483049,-5.02934,2.311163446,0.52,0.50467205,0.079826,0.058397672,0.099967722,0.13062868,0.179752,0.134671145,0.60672,0.206267712,131.92506,29.43020414,0.003047954,0.011725713,1,4,2,6,0,2,1,4,1,2,0,3,0,4,4,0,3,2,5,1,2,1,2,0
ENFP,NF,Enfp/vibe,7yAlZNUIhnOf58HGIipn81,50,0.64406,0.141010408,0.65216,0.200866324,-7.61476,3.669461177,0.62,0.490314351,0.119934,0.139426924,0.288530972,0.297883598,0.209488,0.144341925,0.61422,0.211472128,129.98266,31.4385222,0.05771239,0.145641835,1,9,2,7,0,1,0,2,0,2,3,1,0,2,2,1,4,1,4,1,0,1,4,2
ENFP,NF,ENFP,1YiwP3bjTlOGR0Ki9YDQf0,50,0.62566,0.146863898,0.71302,0.197193315,-6.0692,3.078536559,0.58,0.498569382,0.07586,0.062546456,0.181762768,0.239231594,0.212902,0.164994419,0.56504,0.247307786,119.10162,28.22399653,0.00894228,0.033289739,1,4,4,4,0,4,1,1,3,4,3,2,0,3,4,2,1,1,3,1,0,1,2,1
ENFP,NF,ENFP,4h9NBL7Vw9AhB3eEffki8c,38,0.675236842,0.121746621,0.799447368,0.1238309,-4.565026316,2.2169433,0.657894737,0.480782908,0.080284211,0.052413396,0.112354013,0.131722116,0.193786842,0.133338093,0.584736842,0.18575466,119.4843158,26.93245274,0.003907102,0.019602081,1,2,1,6,1,3,0,2,1,2,3,3,1,2,3,0,2,0,0,0,1,2,0,2
ENFP,NF,ENFPVTO,5rtiCyQekEQdfQb25oYm9I,50,0.65,0.135967283,0.66822,0.204463288,-7.76568,2.775874692,0.6,0.494871659,0.087804,0.070167424,0.215871248,0.252576452,0.251104,0.211085139,0.510984,0.26136377,112.80836,25.82177424,0.132729122,0.248204356,3,4,2,7,2,5,0,4,1,0,2,5,3,2,2,2,1,0,1,0,0,1,0,3
ENFP,NF,ENFP,4n933q03yMIJd2OqAnJlt0,48,0.595770833,0.15981828,0.7159375,0.185636273,-6.5594375,2.483821018,0.625,0.489246055,0.057127083,0.054346096,0.198950919,0.242569846,0.183860417,0.15281663,0.543875,0.217764916,124.9704167,27.05850899,0.114046734,0.254015243,0,6,3,0,2,6,1,1,3,3,2,1,0,6,1,2,4,1,3,0,0,1,1,1
ENFP,NF,no context enfps,2wn36yG8TFYHszrrGCvRWd,43,0.59955814,0.151898353,0.705069767,0.193931799,-6.770697674,3.879414754,0.581395349,0.499168744,0.058974419,0.051120381,0.20608963,0.264168249,0.186365116,0.155194093,0.570093023,0.222376431,124.4549302,24.89016263,0.05003929,0.149557191,0,4,3,0,3,1,1,2,1,1,5,0,4,3,2,5,3,1,3,0,0,0,0,1
ENFP,NF,enfp vibes,2CgEfQD5oXvXlqvh73tlEN,20,0.6104,0.131130469,0.7872,0.219633091,-6.5063,3.744471604,0.65,0.489360485,0.09756,0.086773604,0.189783025,0.235239086,0.244835,0.267432672,0.6278,0.260300151,129.73,25.08730304,0.04787118,0.106267452,1,4,0,1,1,0,0,1,0,0,0,1,2,2,1,1,2,2,0,0,0,0,0,1
ENFP,NF,Enfp,2fTFc0c9fbCl1oP5tTyIgN,50,0.64202,0.143193246,0.70516,0.15655818,-6.27116,2.502112955,0.46,0.503457434,0.077966,0.058520276,0.178229706,0.220905263,0.218042,0.175788403,0.6107,0.214726143,126.4337,28.97652427,0.026550425,0.087329149,2,1,2,0,2,5,0,2,2,0,1,4,2,5,0,5,2,4,3,3,1,2,0,2
ENFP,NF,enfp edit şarkıları,3gl1joc12HVA6MOdKg2Dfw,50,0.66672,0.143657478,0.61382,0.160406714,-6.70442,2.396363513,0.66,0.478518121,0.06428,0.05090499,0.329753,0.266122674,0.178446,0.129723741,0.518324,0.221204125,117.02824,22.31738208,0.056736774,0.187472385,0,2,2,1,0,6,1,1,4,3,3,2,5,2,2,1,5,0,4,0,1,2,1,2
ENFP,NF,ENFP tingz,6zv7CgLLvtxfEhmW3DlfPi,50,0.68724,0.141304211,0.69624,0.159673591,-6.23176,2.657351148,0.5,0.505076272,0.136648,0.120523163,0.20765332,0.23817413,0.221196,0.157813128,0.588692,0.218477534,123.62872,25.64120339,0.088032574,0.221613638,0,4,3,5,2,1,0,4,2,4,0,2,1,5,1,3,2,2,3,2,0,1,1,2
ENFP,NF,enfp🤍,0kxrK1QK4QLLNWMgojhJ3N,50,0.671204082,0.124189033,0.571816327,0.181565951,-6.690673469,2.960748944,0.653061224,0.480928807,0.064295918,0.048892071,0.38497898,0.278425422,0.152144898,0.092428741,0.554785714,0.200582901,126.2931224,25.1096239,0.009740413,0.041588595,0,6,1,6,1,3,1,2,2,0,3,5,1,4,1,2,0,2,3,3,0,1,0,2
ENFP,NF,enfp,6AefA6J9XjnLncXX9QuHP7,50,0.57712,0.124874409,0.737032,0.195107951,-6.65956,3.383211457,0.78,0.418451958,0.063254,0.042374276,0.197948496,0.274434718,0.19491,0.148105725,0.60512,0.222393349,126.22254,30.0997931,0.018306627,0.07784809,2,3,2,6,0,5,2,1,2,1,5,3,2,4,3,1,3,0,0,3,0,1,0,1
ENFP,NF,Enfp,44p05D8RAzT0Ao5CaLgv9E,50,0.62714,0.145947434,0.7218,0.139630562,-6.46584,2.334011772,0.72,0.453557368,0.052066,0.030136672,0.208016063,0.249205072,0.190208,0.149830549,0.602074,0.235254635,124.2188,25.37449811,0.027782112,0.109343666,0,4,1,6,1,0,0,3,5,2,3,0,3,1,2,2,8,1,3,3,0,1,0,1
ENFP,NF,enfp mood jiji🧚🌈,5HLhmth0Pv7o2188jt6dCm,50,0.64468,0.09573037,0.78016,0.152304523,-5.5012,3.017168926,0.64,0.484873221,0.062076,0.034261965,0.17332657,0.198594544,0.203604,0.156138694,0.620634,0.208574823,130.37368,23.33434535,0.02837488,0.110624259,3,8,1,6,0,0,1,3,2,2,2,2,3,1,4,1,3,1,2,1,0,3,0,1
ENFP,NF,enfpals,4izvGV92VlcQZ14mSsb6Am,40,0.64015,0.120498441,0.669175,0.186102383,-7.170975,2.564477779,0.8,0.405095747,0.0586425,0.036679862,0.25116675,0.272448943,0.1759875,0.128341466,0.619385,0.222517163,120.007225,23.85889669,0.022916159,0.128029327,1,2,0,3,2,2,2,0,3,1,3,1,2,3,2,1,3,0,2,1,0,0,0,6
