#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,song_frequency
27,Hoofdstuk 32 - Heer ridder Louis en de draak der DOEM!,"Myles McLeod,Greg McLeod,Mariella Manfré",187,4A,14,-,03:10,0,,Heer ridder Louis en de draak der DOEM! (Onverkort),2022-10-17,61,56,0,34,90,30,-24,F Minor,4,6SPmQnec5S9u6sTWkMAfu4,DEUE12348993,1
28,Tallboys,Teddy Hyde,95,7B,42,-,03:51,32,,Sock-Footed,2018-04-02,74,50,1,26,0,0,-12,F Major,4,5elGGLGofhFQK55cTnz5bI,USCGJ1853747,1
29,through my door,elliotly,120,9A,69,-,04:30,19,,pressed rose,2021-05-22,57,38,0,59,10,10,-11,E Minor,4,2OvZ7jS5D1bh9kUjXUvLLR,QZHN92020008,1
30,&,Tally Hall,96,1B,88,-,03:14,62,,Good & Evil,2011-06-21,53,0,0,73,0,30,-5,B Major,4,2vzbU9nlpIMYxlt0FucOHi,TCAAX1184865,1
31,ISFJ (Angels in the Dust),Greg McLeod,141,8B,40,-,02:32,1,,MB-LP,2015-01-15,80,65,0,75,10,0,-13,C Major,4,7HbwmYLf6Tn1azRbOJcQU4,CA9OT1400017,1
32,The TV Made Me Do It,Moon Walker,100,3A,66,-,03:34,45,,Truth to Power,2021-09-24,64,7,0,85,0,0,-5,A#/B♭ Minor,4,4nwstlCfE0UmgFl60oVbPZ,QZVEM2303547,1
33,Hoofdstuk 52 - Heer ridder Louis en de vreselijke vrouwe,"Myles McLeod,Greg McLeod,Mariella Manfré",111,2B,40,-,03:03,0,,Heer ridder Louis en de vreselijke vrouwe (Onverkort),2021-10-06,71,42,0,43,90,20,-16,F#/G♭ Major,3,2H0BtbJ8Lra4NWEXtIEfoe,DEXO42284667,1
34,Enlightenment Plans,Human Zoo,115,5A,42,-,01:55,32,,Wealth & Hellness,2022-10-05,73,75,0,36,0,10,-8,C Minor,4,6sbEOi3stU3CAZHxaaXoes,QZNWY2287901,1
35,Loved,FEiN,127,4B,54,-,03:15,39,,Loved,2017-03-10,67,1,0,49,0,30,-6,G#/A♭ Major,4,07ivDiCg2mWDiwV4nG8zyC,TCACY1730809,1
36,House Not Home,Greg McLeod,150,7A,63,-,05:01,0,,Extinct!,2016-11-17,48,55,0,47,0,40,-10,D Minor,4,2NvqDNP7fFNos30hXEi69I,ushm81678932,1
37,My Ugly,Cloudfodder,128,5A,53,-,02:18,49,,My Ugly,2021-06-09,73,49,2,60,0,40,-10,C Minor,4,5fOF1bgsSzWEqKAyvmATx9,QZWFJ2384195,1
38,Sex with a Ghost,Teddy Hyde,80,10A,33,-,04:00,64,,Sock-Footed,2018-04-02,48,87,0,39,0,20,-12,B Minor,4,1Y2583xYzwiEXDetAB7H1Q,USCGJ1853748,7
39,Hoofdstuk 50 - Heer ridder Louis en de draak der DOEM!,"Myles McLeod,Greg McLeod,Mariella Manfré",133,4A,15,-,03:03,0,,Heer ridder Louis en de draak der DOEM! (Onverkort),2022-10-17,70,35,0,43,80,10,-24,F Minor,3,1ycFAAvS0mmRh46cmJ7RQI,DEUE12349011,1
40,Aromantic Moodboard,Maxwell Anthony,105,10B,62,-,02:30,35,,Aromantic Moodboard,2020-12-27,68,60,0,60,0,10,-9,D Major,4,1yYnsciETqJyZit30x7agr,QZPLR2031323,1
41,INFJ (In a Dream),Greg McLeod,95,8A,26,-,02:37,4,,MB-LP,2015-01-15,45,87,5,32,0,10,-13,A Minor,4,3PwokEODDUQ2HyBenIVFnk,CA9OT1400024,1
42,Light Burns Out,Moon Walker,180,10A,67,-,03:49,32,,Truth to Power,2021-09-24,26,5,0,63,0,50,-4,B Minor,4,6abxMGO5ZyljyRSBLt7Zle,QZVEM2303551,1
43,The Guide to Success,Joe Iconis,148,7A,44,-,05:07,28,,Things To Ruin: The Songs Of Joe Iconis (Original Cast Recording),2010-09-21,49,35,0,46,30,0,-10,D Minor,4,7iHgOyIl0IxBQl0WYC3Dur,USSK31052808,1
44,The Edge,Panicland,102,12B,60,-,03:32,44,,The Edge,2018-12-14,68,16,0,65,0,0,-5,E Major,4,4n4k0dnObC2mIkyeK6LwcC,CAICR1800003,1
45,Hoofdstuk 58 - Heer ridder Louis en de vreselijke vrouwe,"Myles McLeod,Greg McLeod,Mariella Manfré",83,2B,40,-,03:05,0,,Heer ridder Louis en de vreselijke vrouwe (Onverkort),2021-10-06,63,42,0,42,90,20,-15,F#/G♭ Major,4,39J8mnZZ1RYEkq2CrbB9qk,DEXO42284673,1
46,Asperger Messiah,Greg McLeod,85,11B,63,-,03:45,0,,Extinct!,2016-11-17,56,37,0,58,0,70,-8,A Major,4,3uVt8ZChJDf1RrAyWI5Gv5,ushm81678931,1
47,Terry's Taxidermy,Teddy Hyde,62,4A,36,-,05:41,39,,Splittsville,2020-01-04,40,65,0,30,0,30,-10,F Minor,3,7bfUYICU71RRnulbFKaTbJ,USL4R1934861,1
48,Give The People What They Want,Moon Walker,154,12B,88,-,03:49,41,,Apocalypticism,2023-10-20,47,6,0,64,20,30,-6,E Major,4,0S4P3mwc5PtokbKunPIHd7,QZNWT2327342,1
49,Sick On Seventh Street,Sarah and the Safe Word,120,10B,56,-,03:03,43,,Good Gracious! Bad People.,2020-10-30,66,24,0,66,0,0,-6,D Major,4,3vO0kLVEB9zatBcVdSRkPh,USF283065002,1
50,Deadlights,Merakirozes,143,10A,73,-,05:06,18,,Deadlights,2020-06-27,33,52,7,44,0,0,-8,B Minor,4,1IcQZLn2Lwjeh545Qv87SO,ushm22094174,1
7,Pumped Up Kicks,Foster The People,128,4A,71,2022-05-29,03:59,87,,Torches,2011-05-23,73,14,12,97,0,10,-6,F Minor,4,7w87IxuO7BDcJ3YUqCyMTT,USSM11002931,6
9,The Bidding,Tally Hall,175,8A,61,2022-05-29,02:40,68,,Marvin's Marvelous Mechanical Museum,2005-10-24,54,25,0,52,20,10,-5,A Minor,4,0HBrtXJohbIW4IhPZ50GmH,TCAAY1150083,11
10,Sex with a Ghost,Teddy Hyde,79,10A,33,2022-05-29,03:52,0,,Sock-Footed,2018-04-02,48,86,0,41,0,10,-12,B Minor,4,1baoZlq32nBee9tcYbQYxV,uscgj1853748,7
14,Arms Tonite,Mother Mother,140,12B,65,2022-05-29,03:36,1,,O My Heart,2008-09-23,69,10,0,32,0,10,-4,E Major,4,1rRwwqteLePmi70PGaC8ah,CAL450882110,6
19,Hello Kitty,Avril Lavigne,128,11A,79,2022-05-29,03:16,63,,Avril Lavigne (Expanded Edition),2013-11-01,75,0,0,59,0,60,-7,F#/G♭ Minor,4,5eo5uGyM4q70CLU3LZphfu,USSM11304491,2
22,Bubble Pop Electric,"Gwen Stefani,Johnny Vulture",194,3B,98,2022-05-29,03:42,73,,Love. Angel. Music. Baby.,2004-11-12,57,0,0,35,20,10,-4,C♯/D♭ Major,4,4A2vjMnkAWgPVqwl3Xc7pu,USIR10400844,5
32,Wasabi,Little Mix,114,10B,66,2022-05-29,02:34,62,,LM5 (Deluxe),2018-11-16,85,0,0,23,10,10,-5,D Major,4,7IOuCLt770D8v0u3SVaDeI,GBHMU1800097,3
34,Welcome To The Jungle,Guns N' Roses,123,4B,95,2022-05-29,04:32,12,"rock, glam metal, hard rock, classic rock",Appetite For Destruction,1987-07-21,45,2,40,33,0,30,-8,G#/A♭ Major,4,0bVtevEgtDIeRjCJbK3Lmv,USGF18714801,3
41,Heart Of Glass (Live from the iHeart Festival),Miley Cyrus,115,12B,91,2022-05-29,03:33,1,,Heart Of Glass / Midnight Sky,2020-09-29,58,0,0,43,0,0,-5,E Major,4,5i7ThJfYLAzp2DyZuFpF6j,USRC12003345,5
43,So What,P!nk,126,1B,89,2022-05-29,03:35,1,,Funhouse,2008-10-24,54,0,0,45,0,20,-3,B Major,4,6qYGUxPjQt5PJtWdiNppZx,USLF20800067,3
44,All Star,Smash Mouth,104,1B,86,2022-05-29,03:20,2,,All Star Smash Hits,2005-01-01,73,4,0,77,0,0,-6,B Major,4,22c2pt75xtnDddA5Zlm0yy,USIR19902220,5
45,Rehab,Amy Winehouse,72,8B,87,2022-05-29,03:33,0,,Back To Black,2006-01-01,44,5,0,74,0,40,-3,C Major,4,1EXAqr4fceDPYlL6XeMi2g,GBUM70603730,2
46,Give Us a Little Love,Fallulah,124,7A,42,2022-05-29,03:45,35,dansk pop,The Black Cat Neighbourhood,2010-00-00,75,74,0,39,0,0,-7,D Minor,4,2m8Ev8iVzP4AM8YjSHaxeA,DKADG0900620,2
47,Can't Get Enough Of You Baby,Smash Mouth,124,2B,90,2022-05-29,02:30,56,,Astro Lounge,1999-06-08,66,1,0,83,0,40,-5,F#/G♭ Major,4,0UVIXwqfTjefBbDyY60MWB,USIR19902230,2
51,Borderline,Tame Impala,98,4A,87,2022-05-29,03:57,87,"neo-psychedelic, indie",The Slow Rush,2020-02-14,62,4,0,87,0,0,-3,F Minor,4,5hM5arv9KDbCHS0k9uqwjr,AUUM71900956,3
53,Troublemaker (feat. Flo Rida),"Olly Murs,Flo Rida",106,5A,86,2022-05-29,03:05,0,,Right Place Right Time (Deluxe),2011-00-00,76,2,0,97,0,10,-4,C Minor,4,0gRczqVHrEQQDyizJUtgRc,GBARL1201891,4
55,23,"Mike WiLL Made-It,Miley Cyrus,Wiz Khalifa,Juicy J",140,11B,60,2022-05-29,04:12,74,crunk,23,2013-01-01,86,0,0,32,0,10,-5,A Major,4,20FZrLl9zSbO9b3DhaqO6M,USUM71312049,3
57,Bad - 2012 Remaster,Michael Jackson,114,4B,89,2022-05-29,04:07,71,,Bad 25th Anniversary,2012-09-18,79,0,42,39,0,0,-4,G#/A♭ Major,4,5lWFrW5T3JtxVCLDb7etPu,USSM11204980,3
58,MONTERO (Call Me By Your Name) - SATAN'S EXTENDED VERSION,Lil Nas X,119,1A,54,2022-05-29,02:50,57,,MONTERO (Call Me By Your Name),2021-03-31,51,19,0,71,10,30,-6,G#/A♭ Minor,5,7JvmJDDMZMvWaWARsWK9Da,USSM12101203,4
59,Purple Lamborghini (with Rick Ross),"Skrillex,Rick Ross",147,3A,90,2022-05-29,03:35,67,"dubstep, edm, electro, electronic, southern hip hop",Purple Lamborghini (with Rick Ross),2016-07-22,46,0,0,30,10,80,-3,A#/B♭ Minor,4,6JyuJFedEvPmdWQW0PkbGJ,USAT21602007,2
60,Desperado,Rihanna,94,5A,61,2022-05-29,03:06,72,,ANTI (Deluxe),2016-01-28,68,32,0,33,0,10,-5,C Minor,3,4mCf3vQf7z0Yseo0RxAi3V,QM5FT1600104,2
64,Laughing on the Outside,Bernadette Carroll,99,7B,42,2022-05-29,02:20,0,,Cleopatra Girls,2017-04-07,38,82,0,43,0,20,-10,F Major,3,3DofkfU0559aayAElVjEIr,USCW61705209,3
65,Lucifer's Waltz,Secession Studios,114,1A,31,2022-05-29,03:03,47,orchestral,The Untold,2016-12-20,21,41,78,4,0,0,-13,G#/A♭ Minor,4,2pC9UHkrSWH6lJPkXlMIsI,TCACU1695483,2
71,Let's Get It Started,Måneskin,114,2B,76,2022-05-29,02:26,61,,Chosen,2017-12-08,83,17,0,87,0,0,-4,F#/G♭ Major,4,6D2tOVX5MMl8jNVkwsFaWg,ITB001700847,3
72,Hot N Cold - Rock Version,Katy Perry,132,9B,89,2022-05-29,03:40,56,pop,Hot N Cold,2008-01-01,54,0,0,45,0,0,-3,G Major,4,6K4r3XENOKeXFTKlBlAJLC,USCA20804297,3
76,This Could Be Us,Rae Sremmurd,143,5A,69,2022-06-09,03:26,0,,Viral Hits: November 2021,2021-11-22,73,29,0,76,10,10,-5,C Minor,4,6kIeroaTHMGC0HEcGBvfag,USUM71417486,2
81,Now and Later,Sage The Gemini,107,10A,57,2022-09-25,03:13,50,hyphy,Now and Later,2016-10-14,78,27,0,86,10,20,-6,B Minor,4,43jBqV3j3Xi1g6wO0bhIMd,USAT21602883,1
83,goverment hooker (sped up) - tiktok version,"accelerate,creamy,11:11 Music Group",147,4A,93,2022-10-02,02:59,39,lo-fi,goverment hooker (sped up) - tiktok version,2022-07-01,64,0,87,65,10,50,-5,F Minor,4,449IjU2RUe560j60sZacfY,GX5MY2220097,1
84,Partners in Crime (feat. Ash Costello),"Set It Off,Ash Costello",190,3B,94,2022-11-07,03:31,72,,Cinematics (Expanded Edition),2013-06-25,38,1,0,82,0,10,-3,C♯/D♭ Major,4,4oaU0fMSg3n9kqOwmLPVhH,US3X51224501,1
85,I Got No Time,The Living Tombstone,180,4B,90,2022-11-07,02:46,0,,I Got No Time,2016-02-20,35,0,0,35,0,20,-2,G#/A♭ Major,4,6HYKgl1NaCgJkm24EeaeKs,USDHM1603917,1
86,Mind brand,Maretu,156,3A,96,2022-11-07,04:19,65,vocaloid,Coin locker Baby,2016-03-02,51,1,0,57,0,10,-3,A#/B♭ Minor,4,2KvhjbZPPtNXTB6wib1rXB,JPZ921515168,1
87,Miss Wanna Die,"JubyPhonic,Master Andross",132,8A,84,2022-11-07,03:23,62,"vocaloid, ",Miss Wanna Die,2021-11-05,63,15,0,53,0,10,-5,A Minor,4,6QYYzSQnGyMjcRRy67eYwF,QZNWX2127611,1
11,I Love You Like An Alcoholic,The Taxpayers,108,9A,42,2022-09-02,03:35,0,"folk punk, anti-folk"," God, Forgive These Bastards  Songs From The Forgotten Life of Henry Turner",2012-06-19,61,38,0,21,0,10,-6,E Minor,4,7u63zva845rv8tRFi9FG8a,US4ZV1200087,2
13,しかばねの踊り,Kikuo,135,11A,83,2022-09-02,03:48,66,vocaloid,きくおミク3,2013-09-11,70,26,0,86,0,0,-4,F#/G♭ Minor,4,6a0G8hYEyxqvEkebVLU5VK,JPE561302155,1
14,Everybody Gets High,MISSIO,59,1B,56,2022-09-02,03:32,57,,Loner,2017-05-19,43,2,0,46,20,0,-7,B Major,4,3nH3Gtm9GQVfiaYDr4AXji,USRC11700802,1
17,The Bidding,Tally Hall,175,8A,61,2022-09-02,02:40,68,,Marvin's Marvelous Mechanical Museum,2005-10-24,54,25,0,52,20,10,-5,A Minor,4,0HBrtXJohbIW4IhPZ50GmH,TCAAY1150083,11
18,Welcome to The Internet,Bo Burnham,95,7A,53,2022-09-02,04:35,68,comedy,INSIDE,2021-06-10,67,66,0,22,40,30,-9,D Minor,3,3s44Qv8x974tm0ueLexMWN,USA2P2122073,5
19,Happy Face,Jagwar Twin,178,11B,71,2022-09-02,02:49,0,,Happy Face,2020-12-11,42,2,0,37,0,10,-6,A Major,4,6QNCvcs758QuBEBISL6XIV,QZNWS2055769,5
23,R.I.P. Gossip Sea,cosMo@Bousou-P,111,3B,99,2022-09-02,03:39,40,vocaloid,Gossip Sea,2020-05-05,56,0,0,73,0,10,-3,C♯/D♭ Major,4,7xz8uuhmnW80qujTXrtX2N,TCJPL2026131,1
24,money machine,"100 gecs,Laura Les,Dylan Brady",99,2B,66,2022-09-02,01:54,60,"hyperpop, glitch",1000 gecs,2019-05-31,68,23,0,75,10,40,-7,F#/G♭ Major,4,61bwFjzXGG1x2aZsANdLyl,USAT22000415,3
27,Need to Know,Doja Cat,130,3B,61,2022-09-02,03:30,81,,Planet Her,2021-06-25,66,30,0,19,0,0,-7,C♯/D♭ Major,4,3Vi5XqYrmQgOYBajMWSvCi,USRC12101120,2
31,I Can't Decide,Scissor Sisters,97,5B,81,2022-09-02,02:46,61,,Ta-Dah,2006-01-01,69,24,0,87,0,20,-5,D#/E♭ Major,4,7f6RiVFXqUT3dWi35OznLI,GBUM70602614,6
32,How Bad Can I Be,Annapantsu,98,9B,78,2022-09-02,02:53,0,,How Bad Can I Be,2020-09-11,72,2,0,89,0,50,-5,G Major,4,2KRiSmr09KvgdjCOP8C1S0,QZK6H2025197,1
37,Mama,My Chemical Romance,209,9A,80,2022-09-02,04:39,69,"emo, pop punk",The Black Parade,2006-10-20,24,1,0,30,0,0,-5,E Minor,4,0Zh3tKIphLOvQux4dA6PFZ,USRE10602910,2
38,Всё было так,Electroforez,148,3B,85,2022-09-02,03:17,39,"post-punk, darkwave, cold wave",Всё было так,2014-08-25,35,1,1,75,0,0,-6,C♯/D♭ Major,4,3CbPcnOSm9Ui44cOaBXUWg,RUA1H1639938,1
40,マトリョシカ - ORIGINAL,hachi,103,10A,90,2022-09-02,03:18,58,vocaloid,OFFICIAL ORANGE,2011-11-14,55,0,19,77,0,0,-4,B Minor,4,74A5fPLR86U9XWYostkXwS,JPG101391609,2
41,Sex with a Ghost,Teddy Hyde,80,10A,33,2022-09-02,04:00,64,,Sock-Footed,2018-04-02,48,87,0,39,0,20,-12,B Minor,4,1Y2583xYzwiEXDetAB7H1Q,USCGJ1853748,7
43,You Stupid Bitch,girl in red,149,10A,83,2022-09-02,03:15,0,bedroom pop,You Stupid Bitch,2021-04-14,52,1,0,76,0,20,-6,B Minor,4,7Jqyl2feOikHqdCOaY9uzF,GBKPL2136769,1
44,Laplace’s Angel (Hurt People? Hurt People!),Will Wood,150,11B,94,2022-09-02,04:01,62,,The Normal Album,2020-07-10,55,12,0,66,10,50,-6,A Major,4,1oHbgg5WYa7WOJC8VoBVYi,QZKWA2004470,1
48,The Main Character,Will Wood,108,8B,75,2023-01-28,04:25,0,," In case I make it, ",2022-07-29,64,80,0,67,0,30,-4,C Major,4,54A4aGA5rmDBJqD2yFAgJI,GBRKQ2263322,1
49,Orphan Tears,Your Favorite Martian,130,9B,83,2023-06-30,03:27,0,comedy,Orphan Tears,2011-04-17,81,2,0,49,20,10,-5,G Major,4,7HOYkw4m0lSDxcramohtPl,TCAAX1158433,1
50,ENTP (Big in Japan),Greg McLeod,135,7A,54,2023-07-31,02:47,12,,MB-LP,2015-01-15,64,42,0,85,0,10,-10,D Minor,4,0MsDheeFBWSBvK5VEXlTsA,CA9OT1400015,2
1,Lose Yourself,Eminem,171,10B,74,2025-12-21,05:26,81,"rap, hip hop",Curtain Call: The Hits (Deluxe Edition),2005-12-06,69,1,0,6,20,30,-5,D Major,4,5Z01UMMf7V1o0MzF86s6WJ,USIR10211559,1
2,Beat It,Michael Jackson,139,2A,87,2025-12-21,04:18,78,,Thriller 25 Super Deluxe Edition,2008-02-08,78,5,0,92,0,20,-4,D#/E♭ Minor,4,1OOtq8tRnDM8kG2gqUPjAj,USSM19902990,1
3,TOMBOY,i-dle,124,12A,87,2025-12-21,02:54,5,k-pop,I NEVER DIE,2022-03-14,76,1,0,65,0,0,-2,C♯/D♭ Minor,4,0IGUXY4JbK18bu9oD4mPIm,KRA392100080,1
5,Kafama Göre,Athena,120,11B,91,2025-12-21,03:13,57,"turkish pop, anatolian rock",Altüst,2014-10-11,47,7,0,91,0,20,-5,A Major,4,3XOpY6WO7bMv87tf1DooG2,TR0441414702,1
6,Hey Sexy Lady,"Shaggy,Brian & Tony Gold",102,2A,55,2025-12-21,03:19,74,"reggae, dancehall, lovers rock",Lucky Day,2002-10-29,96,1,0,64,0,20,-7,D#/E♭ Minor,4,4u8IPU322yG7mNrqv89GGL,USMC10201202,1
11,Queencard,i-dle,130,9A,83,2025-12-21,02:41,73,k-pop,I feel,2023-05-15,82,3,0,67,0,20,-3,E Minor,4,3xtPQCHJQ3o70PeVAaZSG2,KRA392300001,1
14,Smells Like Teen Spirit - Remastered,Nirvana,117,3B,92,2025-12-21,05:00,59,"grunge, rock",Nevermind (30th Anniversary Super Deluxe),1991-09-24,49,0,0,69,0,0,-5,C♯/D♭ Major,4,0gucTLf7trAf37Ua1uAyAu,USGF19942501,1
23,Knights of Cydonia,Muse,137,10A,96,2025-12-21,06:06,72,"alternative rock, rock",Black Holes and Revelations,2006-06-28,37,0,1,21,10,10,-5,B Minor,4,7ouMYWpwJ422jRcDASZB7P,GBAHT0500600,1
24,No One Knows,Queens of the Stone Age,170,8B,58,2025-12-21,04:38,74,"stoner rock, alternative rock",Songs For The Deaf,2002-01-01,51,4,0,69,0,30,-5,C Major,4,6y20BV5L33R8YXM0YuI38N,USIR10211291,1
26,Enemy - Sped Up,"Tommee Profitt,Beacon Light,Sam Tinnesz",140,10B,87,2025-12-21,02:49,44,,Enemy,2023-06-02,36,39,0,11,40,10,-4,D Major,4,2R8FUOeIBmMpTnVgkOLhdh,QZVR22300209,1
31,No Good,KALEO,109,11B,93,2025-12-21,03:54,70,,A/B,2016-06-10,38,2,0,58,10,10,-4,A Major,4,0Tr5G2mE56eLUGvCaXRM8I,USAT21601267,1
34,Pumped Up Kicks,Foster The People,128,4A,71,2025-12-22,03:59,87,,Torches,2011-05-23,73,14,12,97,0,10,-6,F Minor,4,7w87IxuO7BDcJ3YUqCyMTT,USSM11002931,6
37,Rein raus,Rammstein,122,11B,86,2025-12-27,03:09,71,"industrial metal, metal, industrial rock, industrial",Mutter,2001-04-02,67,0,13,77,0,10,-5,A Major,4,4fPrxIohi60EZfNy2TlD44,DEN120100006,1
39,Every living breathing moment,Gabriel Piano,92,7B,16,2026-01-27,01:42,50,,Every living breathing moment,2025-11-21,46,97,90,14,0,20,-12,F Major,4,3bqWAaK3MV5ErIXgtTmTb3,QZYD92502048,1
40,Friesenjung,"Ski Aggu,Joost,Otto Waalkes",161,10A,98,2026-01-27,02:26,68,"german indie, german hip hop, german indie pop, gabber, europop, ",denk mal drüber nach...,2023-10-12,79,2,0,90,10,20,-5,B Minor,4,7b8Z1GU2plJy3aASZTiolF,DE1FB2300037,1
